batch_id,batch
1,X-1655.binimetinib
2,X-1655.BKM120
3,X-1655.BKM120 + encorafenib
4,X-1655.CGM097
5,X-1655.CLR457
6,X-1655.dacarbazine
7,X-1655.encorafenib
8,X-1655.encorafenib + binimetinib
9,X-1655.LDE225
10,X-1655.LDK378
11,X-1655.LEE011
12,X-1655.LEE011 + binimetinib
13,X-1655.LEE011 + encorafenib
14,X-1655.LGW813
15,X-1655.TAS266
16,X-1655.WNT974
17,X-1906.binimetinib
18,X-1906.BKM120
19,X-1906.BKM120 + encorafenib
20,X-1906.CGM097
21,X-1906.CLR457
22,X-1906.dacarbazine
23,X-1906.encorafenib
24,X-1906.encorafenib + binimetinib
25,X-1906.LDE225
26,X-1906.LDK378
27,X-1906.LEE011
28,X-1906.LEE011 + binimetinib
29,X-1906.LEE011 + encorafenib
30,X-1906.LGW813
31,X-1906.TAS266
32,X-1906.WNT974
33,X-2163.binimetinib
34,X-2163.BKM120
35,X-2163.BKM120 + encorafenib
36,X-2163.CGM097
37,X-2163.CLR457
38,X-2163.dacarbazine
39,X-2163.encorafenib
40,X-2163.encorafenib + binimetinib
41,X-2163.LDE225
42,X-2163.LDK378
43,X-2163.LEE011
44,X-2163.LEE011 + binimetinib
45,X-2163.LEE011 + encorafenib
46,X-2163.LGW813
47,X-2163.TAS266
48,X-2163.WNT974
49,X-2306.binimetinib
50,X-2306.BKM120
51,X-2306.BKM120 + encorafenib
52,X-2306.CGM097
53,X-2306.CLR457
54,X-2306.dacarbazine
55,X-2306.encorafenib
56,X-2306.encorafenib + binimetinib
57,X-2306.LDE225
58,X-2306.LDK378
59,X-2306.LEE011
60,X-2306.LEE011 + binimetinib
61,X-2306.LEE011 + encorafenib
62,X-2306.LGW813
63,X-2306.TAS266
64,X-2306.WNT974
65,X-2602.binimetinib
66,X-2602.BKM120
67,X-2602.BKM120 + encorafenib
68,X-2602.CGM097
69,X-2602.dacarbazine
70,X-2602.encorafenib
71,X-2602.encorafenib + binimetinib
72,X-2602.LDE225
73,X-2602.LDK378
74,X-2602.LEE011
75,X-2602.LEE011 + encorafenib
76,X-2602.LGW813
77,X-2602.TAS266
78,X-2602.WNT974
79,X-2613.binimetinib
80,X-2613.BKM120
81,X-2613.BKM120 + encorafenib
82,X-2613.CGM097
83,X-2613.CLR457
84,X-2613.dacarbazine
85,X-2613.encorafenib
86,X-2613.encorafenib + binimetinib
87,X-2613.LDE225
88,X-2613.LDK378
89,X-2613.LEE011
90,X-2613.LEE011 + binimetinib
91,X-2613.LEE011 + encorafenib
92,X-2613.LGW813
93,X-2613.TAS266
94,X-2613.WNT974
95,X-2700.binimetinib
96,X-2700.BKM120
97,X-2700.BKM120 + encorafenib
98,X-2700.CGM097
99,X-2700.CLR457
100,X-2700.dacarbazine
101,X-2700.encorafenib
102,X-2700.encorafenib + binimetinib
103,X-2700.LDE225
104,X-2700.LDK378
105,X-2700.LEE011
106,X-2700.LEE011 + binimetinib
107,X-2700.LEE011 + encorafenib
108,X-2700.LGW813
109,X-2700.TAS266
110,X-2700.WNT974
111,X-2723.binimetinib
112,X-2723.BKM120
113,X-2723.BKM120 + encorafenib
114,X-2723.CGM097
115,X-2723.CLR457
116,X-2723.dacarbazine
117,X-2723.encorafenib
118,X-2723.encorafenib + binimetinib
119,X-2723.LDE225
120,X-2723.LDK378
121,X-2723.LEE011
122,X-2723.LEE011 + binimetinib
123,X-2723.LEE011 + encorafenib
124,X-2723.LGW813
125,X-2723.TAS266
126,X-2723.WNT974
127,X-2753.binimetinib
128,X-2753.BKM120
129,X-2753.BKM120 + encorafenib
130,X-2753.CGM097
131,X-2753.CLR457
132,X-2753.dacarbazine
133,X-2753.encorafenib
134,X-2753.encorafenib + binimetinib
135,X-2753.LDE225
136,X-2753.LDK378
137,X-2753.LEE011
138,X-2753.LEE011 + binimetinib
139,X-2753.LEE011 + encorafenib
140,X-2753.LGW813
141,X-2753.TAS266
142,X-2753.WNT974
143,X-2838.binimetinib
144,X-2838.BKM120
145,X-2838.BKM120 + encorafenib
146,X-2838.CGM097
147,X-2838.CLR457
148,X-2838.dacarbazine
149,X-2838.encorafenib
150,X-2838.encorafenib + binimetinib
151,X-2838.LDE225
152,X-2838.LDK378
153,X-2838.LEE011
154,X-2838.LEE011 + binimetinib
155,X-2838.LEE011 + encorafenib
156,X-2838.LGW813
157,X-2838.TAS266
158,X-2838.WNT974
159,X-2921.binimetinib
160,X-2921.BKM120
161,X-2921.BKM120 + encorafenib
162,X-2921.CGM097
163,X-2921.CLR457
164,X-2921.dacarbazine
165,X-2921.encorafenib
166,X-2921.encorafenib + binimetinib
167,X-2921.LDE225
168,X-2921.LDK378
169,X-2921.LEE011
170,X-2921.LEE011 + binimetinib
171,X-2921.LEE011 + encorafenib
172,X-2921.LGW813
173,X-2921.TAS266
174,X-2921.WNT974
175,X-2992.binimetinib
176,X-2992.BKM120
177,X-2992.BKM120 + encorafenib
178,X-2992.CGM097
179,X-2992.CLR457
180,X-2992.dacarbazine
181,X-2992.encorafenib
182,X-2992.encorafenib + binimetinib
183,X-2992.LDE225
184,X-2992.LDK378
185,X-2992.LEE011
186,X-2992.LEE011 + binimetinib
187,X-2992.LEE011 + encorafenib
188,X-2992.LGW813
189,X-2992.TAS266
190,X-2992.WNT974
191,X-3127.binimetinib
192,X-3127.BKM120
193,X-3127.BKM120 + encorafenib
194,X-3127.CGM097
195,X-3127.CLR457
196,X-3127.dacarbazine
197,X-3127.encorafenib
198,X-3127.encorafenib + binimetinib
199,X-3127.LDE225
200,X-3127.LDK378
201,X-3127.LEE011
202,X-3127.LEE011 + binimetinib
203,X-3127.LEE011 + encorafenib
204,X-3127.LGW813
205,X-3127.TAS266
206,X-3127.WNT974
207,X-3211.binimetinib
208,X-3211.BKM120
209,X-3211.BKM120 + encorafenib
210,X-3211.CGM097
211,X-3211.CLR457
212,X-3211.dacarbazine
213,X-3211.encorafenib
214,X-3211.encorafenib + binimetinib
215,X-3211.LDE225
216,X-3211.LDK378
217,X-3211.LEE011
218,X-3211.LEE011 + binimetinib
219,X-3211.LEE011 + encorafenib
220,X-3211.LGW813
221,X-3211.TAS266
222,X-3211.WNT974
223,X-3483.binimetinib
224,X-3483.BKM120
225,X-3483.BKM120 + encorafenib
226,X-3483.CGM097
227,X-3483.dacarbazine
228,X-3483.encorafenib
229,X-3483.encorafenib + binimetinib
230,X-3483.LDE225
231,X-3483.LDK378
232,X-3483.LEE011
233,X-3483.LEE011 + encorafenib
234,X-3483.LGW813
235,X-3483.TAS266
236,X-3483.WNT974
237,X-3486.binimetinib
238,X-3486.BKM120
239,X-3486.BKM120 + encorafenib
240,X-3486.CGM097
241,X-3486.dacarbazine
242,X-3486.encorafenib
243,X-3486.encorafenib + binimetinib
244,X-3486.LDE225
245,X-3486.LDK378
246,X-3486.LEE011
247,X-3486.LEE011 + encorafenib
248,X-3486.LGW813
249,X-3486.TAS266
250,X-3486.WNT974
251,X-3503.binimetinib
252,X-3503.BKM120
253,X-3503.BKM120 + encorafenib
254,X-3503.CGM097
255,X-3503.dacarbazine
256,X-3503.encorafenib
257,X-3503.encorafenib + binimetinib
258,X-3503.LDE225
259,X-3503.LDK378
260,X-3503.LEE011
261,X-3503.LEE011 + encorafenib
262,X-3503.LGW813
263,X-3503.TAS266
264,X-3503.WNT974
265,X-3676.binimetinib
266,X-3676.BKM120
267,X-3676.BKM120 + encorafenib
268,X-3676.CGM097
269,X-3676.dacarbazine
270,X-3676.encorafenib
271,X-3676.encorafenib + binimetinib
272,X-3676.LDE225
273,X-3676.LDK378
274,X-3676.LEE011
275,X-3676.LEE011 + encorafenib
276,X-3676.LGW813
277,X-3676.TAS266
278,X-3676.WNT974
279,X-3746.binimetinib
280,X-3746.BKM120
281,X-3746.BKM120 + encorafenib
282,X-3746.CGM097
283,X-3746.dacarbazine
284,X-3746.encorafenib
285,X-3746.encorafenib + binimetinib
286,X-3746.LDE225
287,X-3746.LDK378
288,X-3746.LEE011
289,X-3746.LEE011 + encorafenib
290,X-3746.LGW813
291,X-3746.TAS266
292,X-3746.WNT974
293,X-3773.binimetinib
294,X-3773.BKM120
295,X-3773.BKM120 + encorafenib
296,X-3773.CGM097
297,X-3773.CLR457
298,X-3773.dacarbazine
299,X-3773.encorafenib
300,X-3773.encorafenib + binimetinib
301,X-3773.LDE225
302,X-3773.LDK378
303,X-3773.LEE011
304,X-3773.LEE011 + binimetinib
305,X-3773.LEE011 + encorafenib
306,X-3773.LGW813
