id,batch_id,response_type,value
1,1,angle,NA
2,1,abc,NA
3,1,TGI,NA
4,2,angle,NA
5,2,abc,NA
6,2,TGI,NA
7,3,angle,NA
8,3,abc,NA
9,3,TGI,NA
10,4,angle,NA
11,4,abc,NA
12,4,TGI,NA
13,5,angle,NA
14,5,abc,NA
15,5,TGI,NA
16,6,angle,NA
17,6,abc,NA
18,6,TGI,NA
19,7,angle,NA
20,7,abc,NA
21,7,TGI,NA
22,8,angle,NA
23,8,abc,NA
24,8,TGI,NA
25,9,angle,NA
26,9,abc,NA
27,9,TGI,NA
28,10,angle,NA
29,10,abc,NA
30,10,TGI,NA
31,11,angle,NA
32,11,abc,NA
33,11,TGI,NA
34,12,angle,NA
35,12,abc,NA
36,12,TGI,NA
37,13,angle,NA
38,13,abc,NA
39,13,TGI,NA
40,14,angle,NA
41,14,abc,NA
42,14,TGI,NA
43,15,angle,NA
44,15,abc,NA
45,15,TGI,NA
46,16,angle,NA
47,16,abc,NA
48,16,TGI,NA
49,17,angle,NA
50,17,abc,NA
51,17,TGI,NA
52,18,angle,NA
53,18,abc,NA
54,18,TGI,NA
55,19,angle,NA
56,19,abc,NA
57,19,TGI,NA
58,20,angle,9.2037
59,20,abc,341.9251
60,20,TGI,37.7187
61,21,angle,2.4749
62,21,abc,105.2655
63,21,TGI,-26.1935
64,22,angle,7.7119
65,22,abc,301.8001
66,22,TGI,509.8000
67,23,angle,4.1761
68,23,abc,319.4221
69,23,TGI,23.3045
70,24,angle,20.6475
71,24,abc,395.8805
72,24,TGI,40.2091
73,25,angle,-3.4794
74,25,abc,-522.0734
75,25,TGI,16.0317
76,26,angle,11.1134
77,26,abc,203.4686
78,26,TGI,35.6697
79,27,angle,2.2671
80,27,abc,202.5751
81,27,TGI,39.9631
82,28,angle,2.1126
83,28,abc,262.3938
84,28,TGI,23.3625
85,29,angle,2.0420
86,29,abc,234.9888
87,29,TGI,37.9435
88,30,angle,-6.9453
89,30,abc,-367.3357
90,30,TGI,39.5769
91,31,angle,-2.2530
92,31,abc,-83.4496
93,31,TGI,-7.9065
94,32,angle,0.1395
95,32,abc,45.2044
96,32,TGI,-1.8899
97,33,angle,25.2051
98,33,abc,337.8788
99,33,TGI,-42.6258
100,34,angle,160.2716
101,34,abc,486.4538
102,34,TGI,42.4022
103,35,angle,-3.2668
104,35,abc,-434.4187
105,35,TGI,16.8950
106,36,angle,1.9308
107,36,abc,205.5771
108,36,TGI,27.4000
109,37,angle,162.4107
110,37,abc,448.0271
111,37,TGI,62.9632
112,38,angle,1.5444
113,38,abc,218.3438
114,38,TGI,19.1956
115,39,angle,NA
116,39,abc,NA
117,39,TGI,NA
118,40,angle,NA
119,40,abc,NA
120,40,TGI,NA
121,41,angle,NA
122,41,abc,NA
123,41,TGI,NA
124,42,angle,NA
125,42,abc,NA
126,42,TGI,NA
127,43,angle,NA
128,43,abc,NA
129,43,TGI,NA
130,44,angle,NA
131,44,abc,NA
132,44,TGI,NA
133,45,angle,NA
134,45,abc,NA
135,45,TGI,NA
136,46,angle,NA
137,46,abc,NA
138,46,TGI,NA
139,47,angle,NA
140,47,abc,NA
141,47,TGI,NA
142,48,angle,NA
143,48,abc,NA
144,48,TGI,NA
145,49,angle,NA
146,49,abc,NA
147,49,TGI,NA
148,50,angle,NA
149,50,abc,NA
150,50,TGI,NA
151,51,angle,NA
152,51,abc,NA
153,51,TGI,NA
154,52,angle,NA
155,52,abc,NA
156,52,TGI,NA
157,53,angle,NA
158,53,abc,NA
159,53,TGI,NA
160,54,angle,NA
161,54,abc,NA
162,54,TGI,NA
163,55,angle,NA
164,55,abc,NA
165,55,TGI,NA
166,56,angle,NA
167,56,abc,NA
168,56,TGI,NA
169,57,angle,NA
170,57,abc,NA
171,57,TGI,NA
172,58,angle,-1.6732
173,58,abc,-303.3250
174,58,TGI,34.7273
175,59,angle,153.5263
176,59,abc,502.5093
177,59,TGI,-57.2662
178,60,angle,-0.2687
179,60,abc,-94.7048
180,60,TGI,3.6336
181,61,angle,8.0014
182,61,abc,198.7912
183,61,TGI,-23.4566
184,62,angle,3.4895
185,62,abc,82.5767
186,62,TGI,-11.2990
187,63,angle,165.2197
188,63,abc,286.1554
189,63,TGI,-51.9531
190,64,angle,0.6214
191,64,abc,32.6805
192,64,TGI,5.1420
193,65,angle,0.4943
194,65,abc,-93.7520
195,65,TGI,0.1773
196,66,angle,2.9474
197,66,abc,76.6973
198,66,TGI,-1.0167
199,67,angle,-3.9034
200,67,abc,-390.3917
201,67,TGI,6.7771
202,68,angle,-0.5916
203,68,abc,-127.6093
204,68,TGI,4.5658
205,69,angle,-2.9980
206,69,abc,-307.3861
207,69,TGI,311.6250
208,70,angle,-3.3144
209,70,abc,-356.6039
