batch_id,batch
1,GCRC1715.Cisplatin
2,GCRC1715.Gemcitabine
3,GCRC1715.Paclitaxel
4,GCRC1715.Doxorubicin
5,GCRC1735.Cisplatin
6,GCRC1735.Gemcitabine
7,GCRC1735.Paclitaxel
8,GCRC1735.Doxorubicin
9,GCRC1738.Cisplatin
10,GCRC1738.Gemcitabine
11,GCRC1738.Paclitaxel
12,GCRC1738.Doxorubicin
13,GCRC1784.Cisplatin
14,GCRC1784.Gemcitabine
15,GCRC1784.Paclitaxel
16,GCRC1784.Doxorubicin
17,GCRC1828.Cisplatin
18,GCRC1828.Gemcitabine
19,GCRC1828.Paclitaxel
20,GCRC1828.Doxorubicin
21,GCRC1834.Cisplatin
22,GCRC1834.Gemcitabine
23,GCRC1834.Paclitaxel
24,GCRC1834.Doxorubicin
25,GCRC1840.Cisplatin
26,GCRC1840.Gemcitabine
27,GCRC1840.Paclitaxel
28,GCRC1840.Doxorubicin
29,GCRC1851.Cisplatin
30,GCRC1851.Gemcitabine
31,GCRC1851.Paclitaxel
32,GCRC1851.Doxorubicin
33,GCRC1863.Cisplatin
34,GCRC1863.Gemcitabine
35,GCRC1863.Paclitaxel
36,GCRC1863.Doxorubicin
37,GCRC1868.Cisplatin
38,GCRC1868.Gemcitabine
39,GCRC1868.Paclitaxel
40,GCRC1876.Cisplatin
41,GCRC1876.Gemcitabine
42,GCRC1876.Paclitaxel
43,GCRC1876.Doxorubicin
44,GCRC1882.Cisplatin
45,GCRC1882.Gemcitabine
46,GCRC1882.Paclitaxel
47,GCRC1882.Doxorubicin
48,GCRC1886.Cisplatin
49,GCRC1886.Gemcitabine
50,GCRC1886.Paclitaxel
51,GCRC1886.Doxorubicin
52,GCRC1887.Cisplatin
53,GCRC1887.Gemcitabine
54,GCRC1887.Paclitaxel
55,GCRC1905.Cisplatin
56,GCRC1905.Gemcitabine
57,GCRC1905.Paclitaxel
58,GCRC1915.Cisplatin
59,GCRC1915.Gemcitabine
60,GCRC1915.Paclitaxel
61,GCRC1915.Doxorubicin
62,GCRC1924.Cisplatin
63,GCRC1924.Gemcitabine
64,GCRC1924.Paclitaxel
65,GCRC1924.Doxorubicin
66,GCRC1939.Cisplatin
67,GCRC1939.Gemcitabine
68,GCRC1939.Paclitaxel
69,GCRC1939.Doxorubicin
70,GCRC1944.Cisplatin
71,GCRC1944.Gemcitabine
72,GCRC1944.Paclitaxel
73,GCRC1944.Doxorubicin
74,GCRC1945.Cisplatin
75,GCRC1945.Gemcitabine
76,GCRC1945.Paclitaxel
77,GCRC1945.Doxorubicin
78,GCRC1963.Cisplatin
79,GCRC1963.Gemcitabine
80,GCRC1963.Paclitaxel
81,GCRC1963.Doxorubicin
82,GCRC1971.Cisplatin
83,GCRC1971.Gemcitabine
84,GCRC1971.Paclitaxel
85,GCRC1971.Doxorubicin
86,GCRC1979.Cisplatin
87,GCRC1979.Paclitaxel
88,GCRC1979.Doxorubicin
89,GCRC1986.Cisplatin
90,GCRC1986.Gemcitabine
91,GCRC1986.Paclitaxel
92,GCRC1986.Doxorubicin
93,GCRC1991.Cisplatin
94,GCRC1991.Gemcitabine
95,GCRC1991.Paclitaxel
96,GCRC1991.Doxorubicin
97,GCRC2001.Cisplatin
98,GCRC2001.Gemcitabine
99,GCRC2001.Paclitaxel
100,GCRC2001.Doxorubicin
101,GCRC2006.Cisplatin
102,GCRC2006.Gemcitabine
103,GCRC2006.Paclitaxel
104,GCRC2006.Doxorubicin
105,GCRC2007.Gemcitabine
106,GCRC2007.Paclitaxel
107,GCRC2029.Cisplatin
108,GCRC2029.Gemcitabine
109,GCRC2029.Paclitaxel
110,GCRC2029.Doxorubicin
111,GCRC2047.Cisplatin
112,GCRC2047.Gemcitabine
113,GCRC2047.Paclitaxel
114,GCRC2047.Doxorubicin
115,GCRC2054.Cisplatin
116,GCRC2054.Gemcitabine
117,GCRC2054.Paclitaxel
118,GCRC2054.Doxorubicin
119,GCRC2061.Cisplatin
120,GCRC2061.Gemcitabine
121,GCRC2061.Paclitaxel
122,GCRC2061.Doxorubicin
123,GCRC2076.Cisplatin
124,GCRC2076.Gemcitabine
125,GCRC2076.Paclitaxel
126,GCRC2076.Doxorubicin
127,GCRC2097.Cisplatin
128,GCRC2097.Gemcitabine
129,GCRC2097.Paclitaxel
130,GCRC2097.Doxorubicin
131,01-1104.ERIBULIN
132,01-1104.CFI-400945
133,01-1104.CFI-402257
134,01-1104.CFI-400945+ABT263
135,01-1104.BMN673
136,01-1104.CX5461
137,01-1104.TAXOL
138,01-1104.TAXOL + CFI-402257
139,01-1104.CDX-011
140,REF016BL.CFI-400945
141,REF016BL.TAXOL
142,REF016BL.BMN673
143,REF016BL.ERIBULIN
144,REF016BL.CARBOPLATIN
145,REF016BL.CX5461
146,REF016BL.CFI-402257
147,REF016BL.TAXOL + CFI-402257
148,REF016BL.CDX-011
149,48602.CFI-400945
150,48602.TAXOL + CFI-402257
151,48602.BMN673
152,48602.CX5461
153,48602.ERIBULIN
154,48602.CARBOPLATIN
155,48602.CFI-402257
156,48602.TAXOL
157,REF010BL.CFI-402257
158,REF010BL.TAXOL + CFI-402257
159,REF010BL.TAXOL
160,REF010BL.CFI-400945
161,REF010BL.BMN673
162,REF010BL.CDX-011
163,REF010BL.CX5461
164,NOTCH1.FLUVASTATIN
165,NOTCH1.DIPYRIDAMOLE
166,NOTCH1.ERIBULIN
167,NOTCH1.CFI-400945
168,NOTCH1.BMN673
169,NOTCH1.CFI-402257
170,NOTCH1.TAXOL
171,NOTCH1.CDX-011
172,NOTCH1.CARBOPLATIN
173,NOTCH1.FLUVASTATIN + DIPYRIDAMOLE
174,NOTCH1.EVEROLIMUS
175,NOTCH1.TAXOL + CFI-402257
176,INSB019C2T.CFI-402257
177,INSB019C2T.CFI-400945
178,INSB019C2T.BMN673
179,INSB019C2T.CDX-011
180,INSB019C2T.TAXOL
181,INSB019C2T.CX5461
182,NOTCH10.TAXOL
183,NOTCH10.TAXOL + CFI-402257
184,NOTCH10.CFI-400945
185,NOTCH10.CFI-402257
186,NOTCH10.BMN673
187,NOTCH10.ERIBULIN
188,68941.CFI-402257
189,68941.CX5461
190,68941.CDX-011
191,68941.TAXOL + CFI-402257
192,73263.TAXOL VEHICLE
193,73263.TAXOL + CFI-402257
194,73263.TAXOL
195,73263.BMN673
196,73263.CFI-402257
197,73263.CFI-400945
198,73263.CX5461
199,73263.CFI-400945+ABT263
200,73263.CARBOPLATIN
201,73263.ERIBULIN
202,73263.CDX-011
203,NOTCH06.ERIBULIN
204,NOTCH06.TAXOL
205,NOTCH06.TAXOL + CFI-402257
206,NOTCH06.CDX-011
207,NOTCH06.CFI-400945
208,NOTCH06.CFI-402257
209,NOTCH06.BMN673
210,NOTCH06.CX5461
211,REF014BL.CX5461
212,REF014BL.TAXOL + CFI-402257
213,REF014BL.CARBOPLATIN
214,REF014BL.CFI-402257
215,REF014BL.ERIBULIN
216,REF014BL.CDX-011
217,REF014BL.TAXOL
218,REF014BL.EVEROLIMUS
219,REF014BL.CFI-400945
220,REF001.CARBOPLATIN
221,REF001.CX5461
222,REF001.ABT263
223,REF001.CFI-402257
224,REF001.CFI-400945+ABT263
225,NOTCHB01.BMN673
226,NOTCHB01.TAXOL
227,NOTCHB01.ERIBULIN
228,NOTCHB01.CFI-400945
229,NOTCHB01.TAXOL + CFI-402257
230,NOTCHB01.CARBOPLATIN
231,NOTCHB01.CX5461
232,NOTCHB01.CDX-011
233,70620.TAXOL + CFI-402257
234,70620.TAXOL
235,70620.ERIBULIN
236,70620.ABT263
237,70620.CFI-402257
238,70620.CX5461
239,241417.BMN673
240,241417.TAXOL
241,241417.ERIBULIN
242,241417.TAXOL + CFI-402257
243,241417.CX5461
244,241417.CARBOPLATIN
245,241417.CFI-402257
246,241417.CFI-400945
247,241417.CDX-011
248,241417.EVEROLIMUS
249,NOTCHB02.CX5461
250,NOTCHB02.CFI-402257
251,NOTCHB02.TAXOL
252,NOTCHB02.ERIBULIN
253,NOTCHB02.CDX-011
254,NOTCHB02.CFI-400945
255,NOTCHB02.TAXOL + CFI-402257
256,71335.CFI-400945
257,71335.TAXOL
258,71335.CFI-402257
259,71335.BMN673
260,71335.ERIBULIN
261,71335.TAXOL + CFI-402257
262,85277.CFI-402257
263,85277.CFI-400945
264,85277.EVEROLIMUS
265,85277.BMN673
266,85277.TAXOL
267,85277.CFI-400945+ABT263
268,85277.ERIBULIN
269,85277.CX5461
270,85277.CDX-011
271,85277.CARBOPLATIN
272,REF003BL.BMN673
273,REF003BL.ERIBULIN
274,REF003BL.CFI-400945+ABT263
275,REF003BL.TAXOL
276,REF003BL.CFI-402257
277,REF003BL.CARBOPLATIN
278,REF003BL.EVEROLIMUS
279,REF005BL.BMN673
280,REF005BL.TAXOL
281,REF005BL.CX5461
282,REF005BL.CFI-400945
