id,model_id,drug_id,time,volume,volume_normal
1,1,64,0,90,0
2,1,64,4,90,0
3,1,64,6,126.5625,0.40625
4,1,64,10,144,0.6
5,1,64,13,144,0.6
6,1,64,18,144,0.6
7,1,64,20,176,0.955555555555556
8,1,64,25,176,0.955555555555556
9,1,64,28,176,0.955555555555556
10,1,64,32,176,0.955555555555556
11,1,64,35,248.1875,1.75763888888889
12,1,64,38,248.1875,1.75763888888889
13,1,64,42,303.1875,2.36875
14,1,64,46,462.875,4.14305555555556
15,1,64,49,504,4.6
16,1,64,52,504,4.6
17,1,64,55,504,4.6
18,1,64,59,504,4.6
19,1,64,62,540,5
20,1,64,66,540,5
21,2,65,0,168.75,0
22,2,65,4,90,-0.466666666666667
23,2,65,7,122.5,-0.274074074074074
24,2,65,11,147,-0.128888888888889
25,2,65,14,140.625,-0.166666666666667
26,2,65,17,122.5,-0.274074074074074
27,2,65,20,168.75,0
28,2,65,24,112.5,-0.333333333333333
29,2,65,27,112.5,-0.333333333333333
30,2,65,31,222.75,0.32
31,2,65,34,275,0.62962962962963
32,2,65,38,202.5,0.2
33,2,65,41,225.625,0.337037037037037
34,2,65,46,250,0.481481481481481
35,2,65,52,293.3125,0.738148148148148
36,2,65,55,358.3125,1.12333333333333
37,2,65,59,396.75,1.35111111111111
38,2,65,62,243,0.44
39,2,65,66,300,0.777777777777778
40,2,65,69,300,0.777777777777778
41,3,66,0,140.625,0
42,3,66,4,62.5,-0.555555555555556
43,3,66,7,28,-0.800888888888889
44,3,66,12,24,-0.829333333333333
45,3,66,14,4,-0.971555555555556
46,3,66,19,4,-0.971555555555556
47,3,66,22,4,-0.971555555555556
48,3,66,56,0.5,-0.996444444444444
49,3,66,60,56.25,-0.6
50,3,66,63,56.25,-0.6
51,3,66,67,50,-0.644444444444444
52,3,66,70,13.5,-0.904
53,3,66,75,13.5,-0.904
54,3,66,81,13.5,-0.904
55,3,66,84,13.5,-0.904
56,4,33,0,105.625,0
57,4,33,4,105.625,0
58,4,33,7,122.5,0.159763313609467
59,4,33,11,122.5,0.159763313609467
60,4,33,14,56.25,-0.467455621301775
61,4,33,17,50,-0.526627218934911
62,4,33,20,75.625,-0.284023668639053
63,4,33,24,28,-0.73491124260355
64,4,33,46,140.625,0.331360946745562
65,4,33,52,180.625,0.710059171597633
66,4,33,55,202.5,0.917159763313609
67,4,33,59,248.1875,1.34970414201183
68,4,33,62,275,1.60355029585799
69,4,33,66,300,1.84023668639053
70,4,33,69,396.75,2.75621301775148
71,4,33,73,462.875,3.38224852071006
72,4,33,80,275,1.60355029585799
73,5,68,0,126.75,0
74,5,68,3,182.8125,0.442307692307692
