gene_id,gene_name
1,A2LD1
2,ABCA4
3,ABCC13
4,ABHD13
5,ABTB1
6,ABTB2
7,ACBD7
8,ACTR6
9,ADAM17
10,ADAM3A
11,ADAM5P
12,ADAM6
13,ADAMTS1
14,ADAMTS5
15,ADARB2
16,ADARB2-AS1
17,ADCK1
18,ADNP
19,ADPRHL1
20,ADSS
21,AHCTF1
22,AK1
23,AKR1C1
24,AKR1C2
25,AKR1C3
26,AKR1C4
27,AKR1CL1
28,AKR1E2
29,AKT3
30,ALG10
31,ALG10B
32,AMELY
33,AMOTL2
34,AMY1A
35,ANKRD10
36,ANKRD20A11P
37,ANKRD30BP2
38,ANKRD36
39,ANKRD62
40,ANKS1B
41,ANO4
42,ANXA7
43,APIP
44,APLF
45,APOOL
46,APP
47,ARHGEF7
48,ARHGEF9
49,ARMC2
50,ARNTL2
51,ASB12
52,ASCL1
53,ASTN1
54,ASUN
55,ATP11A
56,ATP4B
57,ATP5J
58,ATRX
59,ATXN7L3B
60,AVIL
61,AVPR1A
62,BACH1
63,BAG6
64,BBS10
65,BCAT1
66,BCORP1
67,BEND7
68,BEST3
69,BHLHE41
70,BIRC6
71,BIVM
72,BIVM-ERCC5
73,BPY2B
74,BTG3
75,C10ORF108
76,C10ORF111
77,C10ORF47
78,C11ORF48
79,C11ORF74
80,C12ORF42
81,C12ORF56
82,C12ORF61
83,C12ORF66
84,C12ORF70
85,C12ORF71
86,C12ORF77
87,C13ORF35
88,C16ORF79
89,C1ORF100
90,C1ORF101
91,C1ORF150
92,C1ORF182
93,C1ORF229
94,C21ORF15
95,C21ORF37
96,C21ORF7
97,C21ORF91
98,C21ORF91-OT1
99,CALML5
100,CAMK1D
101,CAND1
102,CAPRIN1
103,CAPRIN2
104,CAPS2
105,CARKD
106,CARM1
107,CARS2
108,CASC1
109,CAT
110,CBWD1
111,CCDC168
112,CCDC3
113,CCDC50
114,CCDC53
115,CCDC66
116,CCDC88A
117,CCDC91
118,CCT2
119,CCT7
120,CCT8
121,CD44
122,CDC123
123,CDC16
124,CDC42EP1
125,CDNF
126,CDON
127,CDY1B
128,CDY2A
129,CDY2B
130,CENPV
131,CEP170
132,CEP350
133,CES1P1
134,CFHR1
135,CFHR3
136,CHAMP1
137,CHML
138,CHODL
139,CHODL-AS1
140,CHORDC1
141,CHPT1
142,CHRNB4
143,CLDN1
144,CLDN16
145,CLDN17
146,CLDN8
147,CLUAP1
148,CLYBL
149,CNOT2
150,CNST
151,COCH
152,COL4A1
153,COL4A2
154,COMMD9
155,CPM
156,CPSF6
157,CRYBG3
158,CS
159,CSPG4P1Y
160,CSRP2
161,CTSA
162,CUL4A
163,CUL9
164,CXADR
165,CYYR1
166,D21S2088E
167,DAOA
168,DAOA-AS1
169,DAZ1
170,DAZ2
171,DAZ3
172,DAZ4
173,DCLRE1C
174,DCT
175,DCTN1
176,DCUN1D2
177,DDX11
178,DDX3Y
179,DEPDC1
180,DEPDC4
181,DHTKD1
182,DIP2C
183,DNAJC3
184,DOCK9
185,DPY19L2
186,DRAM1
187,DYRK2
188,DZIP1
189,E2F7
190,ECHDC3
191,EFCAB2
192,EFNB2
193,EHF
194,EIF1AY
195,ELF5
196,ERCC5
197,ERGIC2
198,EXO1
199,F10
200,F7
201,FAM106A
202,FAM107B
203,FAM123B
204,FAM129B
205,FAM155A
206,FAM197Y2P
207,FAM19A2
208,FAM41AY1
209,FAM70B
210,FAM71C
211,FAM86B1
212,FAR2
213,FARP1
214,FBXO21
215,FGF14
216,FGF14-IT1
217,FGFR1OP2
218,FH
219,FJX1
220,FKSG29
