id,drug_id,model_id,response_type,value
1,18,1,,PR
2,18,2,,SD
3,18,3,,PD
4,18,4,,SD
5,18,5,,
6,18,6,,PD
7,18,7,,SD
8,18,8,,PD
9,18,9,,PD
10,18,10,,PD
11,18,11,,NA
12,18,12,,SD
13,18,13,,PD
14,18,14,,PD
15,18,15,,PD
16,18,16,,
17,18,17,,PD
18,18,18,,PD
19,18,19,,PD
20,18,20,,SD
21,18,21,,PD
22,18,22,,SD
23,18,23,,PD
24,18,24,,SD
25,18,25,,PD
26,18,26,,PD
27,18,27,,PD
28,18,28,,SD
29,18,29,,
30,18,30,,PD
31,18,31,,SD
32,18,32,,PD
33,18,33,,SD
34,18,34,,PD
35,18,35,,PD
36,18,36,,SD
37,18,37,,PD
38,18,38,,PR
39,18,39,,PD
40,18,40,,PD
41,18,41,,
42,18,42,,PD
43,18,43,,SD
44,1,1,,PD
45,1,2,,SD
46,1,3,,SD
47,1,4,,PD
48,1,5,,
49,1,6,,SD
50,1,7,,PD
51,1,8,,SD
52,1,9,,SD
53,1,10,,PD
54,1,11,,PD
55,1,12,,PR
56,1,13,,PD
57,1,14,,PD
58,1,15,,SD
59,1,16,,
60,1,17,,SD
61,1,18,,PD
62,1,19,,SD
63,1,20,,PD
64,1,21,,PD
65,1,22,,SD
66,1,23,,SD
67,1,24,,PD
68,1,25,,PD
69,1,26,,PD
70,1,27,,PD
71,1,28,,SD
72,1,29,,
73,1,30,,SD
74,1,31,,SD
75,1,32,,SD
76,1,33,,PR
77,1,34,,SD
78,1,35,,SD
79,1,36,,SD
80,1,37,,PD
81,1,38,,SD
82,1,39,,PR
83,1,40,,SD
84,1,41,,
85,1,42,,SD
86,1,43,,PD
87,2,1,,SD
88,2,2,,SD
89,2,3,,SD
90,2,4,,PR
91,2,5,,
92,2,6,,SD
93,2,7,,SD
94,2,8,,SD
95,2,9,,SD
96,2,10,,SD
97,2,11,,SD
98,2,12,,SD
99,2,13,,PD
100,2,14,,PD
101,2,15,,SD
102,2,16,,
103,2,17,,PD
104,2,18,,SD
105,2,19,,SD
106,2,20,,PD
107,2,21,,PD
108,2,22,,SD
109,2,23,,SD
110,2,24,,PR
111,2,25,,SD
112,2,26,,PD
113,2,27,,SD
114,2,28,,PR
115,2,29,,
116,2,30,,SD
117,2,31,,SD
118,2,32,,SD
119,2,33,,SD
120,2,34,,CR
121,2,35,,SD
122,2,36,,PD
123,2,37,,SD
124,2,38,,SD
125,2,39,,PR
126,2,40,,SD
127,2,41,,
128,2,42,,SD
129,2,43,,PD
130,20,1,,SD
131,20,2,,SD
132,20,3,,SD
133,20,4,,PD
134,20,5,,
135,20,6,,PD
136,20,7,,SD
137,20,8,,PD
138,20,9,,SD
139,20,10,,PD
140,20,11,,SD
141,20,12,,PD
142,20,13,,PD
143,20,14,,PD
144,20,15,,SD
145,20,16,,
146,20,17,,PD
147,20,18,,PD
148,20,19,,SD
149,20,20,,SD
150,20,21,,PD
151,20,22,,SD
152,20,23,,SD
153,20,24,,PR
154,20,25,,SD
155,20,26,,PD
156,20,27,,PD
157,20,28,,SD
158,20,29,,
159,20,30,,SD
160,20,31,,SD
161,20,32,,SD
162,20,33,,SD
163,20,34,,CR
164,20,35,,SD
165,20,36,,SD
166,20,37,,SD
167,20,38,,PD
168,20,39,,SD
169,20,40,,SD
170,20,41,,
171,20,42,,SD
172,20,43,,PD
173,52,1,,PD
174,52,2,,SD
175,52,3,,SD
176,52,4,,PD
177,52,5,,
178,52,6,,SD
179,52,7,,SD
180,52,8,,SD
181,52,9,,SD
182,52,10,,SD
183,52,11,,SD
184,52,12,,SD
185,52,13,,PD
186,52,14,,PD
187,52,15,,SD
188,52,16,,
189,52,17,,PR
190,52,18,,SD
191,52,19,,SD
192,52,20,,SD
193,52,21,,SD
194,52,22,,SD
195,52,23,,NA
196,52,24,,PR
197,52,25,,SD
198,52,26,,SD
199,52,27,,SD
200,52,28,,SD
201,52,29,,
202,52,30,,PR
203,52,31,,PR
204,52,32,,NA
205,52,33,,PR
206,52,34,,CR
207,52,35,,SD
208,52,36,,SD
209,52,37,,SD
210,52,38,,SD
211,52,39,,PR
212,52,40,,SD
213,52,41,,
214,52,42,,PR
215,52,43,,SD
216,22,1,,SD
217,22,2,,SD
218,22,3,,SD
219,22,4,,PD
220,22,5,,
221,22,6,,SD
222,22,7,,SD
223,22,8,,SD
224,22,9,,SD
225,22,10,,PD
226,22,11,,PD
227,22,12,,SD
228,22,13,,SD
229,22,14,,SD
230,22,15,,SD
231,22,16,,
232,22,17,,SD
233,22,18,,SD
234,22,19,,PD
235,22,20,,SD
236,22,21,,SD
237,22,22,,SD
238,22,23,,SD
239,22,24,,CR
240,22,25,,SD
241,22,26,,SD
242,22,27,,SD
243,22,28,,CR
244,22,29,,
245,22,30,,PR
246,22,31,,SD
247,22,32,,PR
248,22,33,,SD
249,22,34,,PR
250,22,35,,SD
251,22,36,,SD
252,22,37,,SD
253,22,38,,PD
254,22,39,,SD
255,22,40,,SD
256,22,41,,
257,22,42,,SD
258,22,43,,SD
259,4,1,,PD
260,4,2,,PD
261,4,3,,SD
262,4,4,,PD
263,4,5,,
264,4,6,,SD
265,4,7,,PD
266,4,8,,PD
267,4,9,,SD
268,4,10,,PD
269,4,11,,PD
270,4,12,,PD
271,4,13,,PD
272,4,14,,PD
273,4,15,,PD
274,4,16,,
275,4,17,,SD
276,4,18,,PD
277,4,19,,SD
278,4,20,,PD
279,4,21,,PD
280,4,22,,SD
281,4,23,,PD
282,4,24,,SD
283,4,25,,PD
284,4,26,,PD
285,4,27,,PD
286,4,28,,SD
287,4,29,,
288,4,30,,PD
289,4,31,,SD
290,4,32,,SD
291,4,33,,SD
292,4,34,,SD
293,4,35,,PD
294,4,36,,PD
295,4,37,,PD
296,4,38,,PD
297,4,39,,PD
298,4,40,,SD
299,4,41,,
300,4,42,,PD
301,4,43,,PD
302,5,1,,SD
303,5,2,,SD
304,5,3,,SD
305,5,4,,PD
306,5,5,,
307,5,6,,PD
308,5,7,,SD
309,5,8,,SD
310,5,9,,SD
311,5,10,,SD
312,5,11,,SD
313,5,12,,PR
314,5,13,,PD
315,5,14,,SD
316,5,15,,SD
317,5,16,,
318,5,17,,PD
319,5,18,,PD
320,5,19,,SD
321,5,20,,SD
322,5,21,,PD
323,5,22,,SD
324,5,23,,SD
325,5,24,,PR
326,5,25,,SD
327,5,26,,PD
328,5,27,,PD
329,5,28,,PR
330,5,29,,
331,5,30,,SD
332,5,31,,PR
333,5,32,,PR
334,5,33,,SD
335,5,34,,CR
336,5,35,,PR
