id,model_id,sequencing_uid,mDataType
1,655,1,RNASeq
2,656,1,RNASeq
3,657,1,RNASeq
4,658,1,RNASeq
5,659,1,RNASeq
6,660,1,RNASeq
7,661,1,RNASeq
8,662,1,RNASeq
9,663,1,RNASeq
10,664,1,RNASeq
11,665,1,RNASeq
12,666,1,RNASeq
13,667,1,RNASeq
14,668,1,RNASeq
15,669,1,RNASeq
16,670,1,RNASeq
17,671,1,RNASeq
18,672,1,RNASeq
19,673,1,RNASeq
20,674,1,RNASeq
21,675,1,RNASeq
22,676,1,RNASeq
23,677,2,RNASeq
24,678,2,RNASeq
25,679,2,RNASeq
26,680,2,RNASeq
27,681,2,RNASeq
28,682,2,RNASeq
29,683,2,RNASeq
30,684,2,RNASeq
31,685,2,RNASeq
32,686,2,RNASeq
33,687,2,RNASeq
34,688,2,RNASeq
35,689,2,RNASeq
36,690,2,RNASeq
37,691,2,RNASeq
38,692,2,RNASeq
39,693,2,RNASeq
40,694,2,RNASeq
41,695,2,RNASeq
42,696,2,RNASeq
43,697,2,RNASeq
44,698,2,RNASeq
45,708,3,RNASeq
46,709,3,RNASeq
47,710,3,RNASeq
48,711,3,RNASeq
49,712,3,RNASeq
50,713,3,RNASeq
51,714,3,RNASeq
52,715,3,RNASeq
53,716,3,RNASeq
54,717,3,RNASeq
55,718,3,RNASeq
56,719,3,RNASeq
57,720,3,RNASeq
58,721,3,RNASeq
59,722,3,RNASeq
60,723,3,RNASeq
61,724,3,RNASeq
62,725,3,RNASeq
63,726,3,RNASeq
64,727,3,RNASeq
65,728,3,RNASeq
66,773,4,RNASeq
67,774,4,RNASeq
68,775,4,RNASeq
69,776,4,RNASeq
70,777,4,RNASeq
71,778,4,RNASeq
72,779,4,RNASeq
73,780,4,RNASeq
74,781,4,RNASeq
75,782,4,RNASeq
76,783,4,RNASeq
77,784,4,RNASeq
78,785,4,RNASeq
79,786,4,RNASeq
80,787,4,RNASeq
81,788,4,RNASeq
82,789,4,RNASeq
83,790,4,RNASeq
84,791,4,RNASeq
85,792,4,RNASeq
86,793,4,RNASeq
87,794,4,RNASeq
88,812,5,RNASeq
89,813,5,RNASeq
90,814,5,RNASeq
91,815,5,RNASeq
92,816,5,RNASeq
93,817,5,RNASeq
94,818,5,RNASeq
95,819,5,RNASeq
96,820,5,RNASeq
97,821,5,RNASeq
98,822,5,RNASeq
99,823,5,RNASeq
100,824,5,RNASeq
101,825,5,RNASeq
102,826,5,RNASeq
103,827,5,RNASeq
104,828,5,RNASeq
105,829,5,RNASeq
106,830,5,RNASeq
107,831,5,RNASeq
108,832,5,RNASeq
109,833,5,RNASeq
110,834,6,RNASeq
111,835,6,RNASeq
112,836,6,RNASeq
113,837,6,RNASeq
114,838,6,RNASeq
115,839,6,RNASeq
116,840,6,RNASeq
117,841,6,RNASeq
118,842,6,RNASeq
119,843,6,RNASeq
120,844,6,RNASeq
121,845,6,RNASeq
122,846,6,RNASeq
123,847,6,RNASeq
124,848,6,RNASeq
125,849,6,RNASeq
126,850,6,RNASeq
127,851,6,RNASeq
128,852,6,RNASeq
129,853,6,RNASeq
130,854,6,RNASeq
131,855,6,RNASeq
132,856,7,RNASeq
133,857,7,RNASeq
134,858,7,RNASeq
135,859,7,RNASeq
136,860,7,RNASeq
137,861,7,RNASeq
138,862,7,RNASeq
139,863,7,RNASeq
140,864,7,RNASeq
141,865,7,RNASeq
142,866,7,RNASeq
143,867,7,RNASeq
144,868,7,RNASeq
145,869,7,RNASeq
146,870,7,RNASeq
147,871,7,RNASeq
148,872,7,RNASeq
149,873,7,RNASeq
150,874,7,RNASeq
151,875,7,RNASeq
152,876,7,RNASeq
153,877,7,RNASeq
154,878,8,RNASeq
155,879,8,RNASeq
156,880,8,RNASeq
157,881,8,RNASeq
158,882,8,RNASeq
159,883,8,RNASeq
160,884,8,RNASeq
