id,model_id,sequencing_uid,mDataType
13862,6367,192,RNASeq
13863,6368,192,RNASeq
13864,6369,192,RNASeq
13865,6370,192,RNASeq
13866,6371,192,RNASeq
13867,6372,192,RNASeq
13868,6373,192,RNASeq
13869,6374,192,RNASeq
13870,6375,192,RNASeq
13871,6376,192,RNASeq
13872,6377,192,RNASeq
13873,6378,192,RNASeq
13874,6379,193,RNASeq
13875,6380,193,RNASeq
13876,6381,193,RNASeq
13877,6382,193,RNASeq
13878,6383,193,RNASeq
13879,6384,193,RNASeq
13880,6385,193,RNASeq
13881,6386,193,RNASeq
13882,6387,193,RNASeq
13883,6388,193,RNASeq
13884,6389,193,RNASeq
13885,6390,193,RNASeq
13886,6391,194,RNASeq
13887,6392,194,RNASeq
13888,6393,194,RNASeq
13889,6394,194,RNASeq
13890,6395,194,RNASeq
13891,6396,194,RNASeq
13892,6397,194,RNASeq
13893,6398,194,RNASeq
13894,6399,194,RNASeq
13895,6400,194,RNASeq
13896,6401,194,RNASeq
13897,6402,194,RNASeq
13898,6403,195,RNASeq
13899,6404,195,RNASeq
13900,6405,195,RNASeq
13901,6406,195,RNASeq
13902,6407,195,RNASeq
13903,6408,195,RNASeq
13904,6409,195,RNASeq
13905,6410,195,RNASeq
13906,6411,195,RNASeq
13907,6412,195,RNASeq
13908,6413,195,RNASeq
13909,6414,195,RNASeq
13910,6415,196,RNASeq
13911,6416,196,RNASeq
13912,6417,196,RNASeq
13913,6418,196,RNASeq
13914,6419,196,RNASeq
13915,6420,196,RNASeq
13916,6421,196,RNASeq
13917,6422,196,RNASeq
13918,6423,196,RNASeq
13919,6424,196,RNASeq
13920,6425,196,RNASeq
13921,6426,196,RNASeq
13922,6427,197,RNASeq
13923,6428,197,RNASeq
13924,6429,197,RNASeq
13925,6430,197,RNASeq
13926,6431,197,RNASeq
13927,6432,197,RNASeq
13928,6433,197,RNASeq
13929,6434,197,RNASeq
13930,6435,197,RNASeq
13931,6436,197,RNASeq
