"","batch.id","response_type","value"
"1","X-007.BGJ398","angle","NA"
"2","X-007.BGJ398","abc","NA"
"3","X-007.BGJ398","TGI","NA"
"4","X-007.binimetinib","angle","NA"
"5","X-007.binimetinib","abc","NA"
"6","X-007.binimetinib","TGI","NA"
"7","X-007.BKM120","angle","NA"
"8","X-007.BKM120","abc","NA"
"9","X-007.BKM120","TGI","NA"
"10","X-007.BYL719","angle","NA"
"11","X-007.BYL719","abc","NA"
"12","X-007.BYL719","TGI","NA"
"13","X-007.BYL719 + HSP990","angle","NA"
"14","X-007.BYL719 + HSP990","abc","NA"
"15","X-007.BYL719 + HSP990","TGI","NA"
"16","X-007.BYL719 + LJM716","angle","NA"
"17","X-007.BYL719 + LJM716","abc","NA"
"18","X-007.BYL719 + LJM716","TGI","NA"
"19","X-007.CLR457","angle","NA"
"20","X-007.CLR457","abc","NA"
"21","X-007.CLR457","TGI","NA"
"22","X-007.everolimus","angle","NA"
"23","X-007.everolimus","abc","NA"
"24","X-007.everolimus","TGI","NA"
"25","X-007.figitumumab","angle","NA"
"26","X-007.figitumumab","abc","NA"
"27","X-007.figitumumab","TGI","NA"
"28","X-007.HDM201","angle","NA"
"29","X-007.HDM201","abc","NA"
"30","X-007.HDM201","TGI","NA"
"31","X-007.HSP990","angle","NA"
"32","X-007.HSP990","abc","NA"
"33","X-007.HSP990","TGI","NA"
"34","X-007.INC280","angle","NA"
"35","X-007.INC280","abc","NA"
"36","X-007.INC280","TGI","NA"
"37","X-007.INC280 + trastuzumab","angle","NA"
"38","X-007.INC280 + trastuzumab","abc","NA"
"39","X-007.INC280 + trastuzumab","TGI","NA"
"40","X-007.LEE011","angle","NA"
"41","X-007.LEE011","abc","NA"
"42","X-007.LEE011","TGI","NA"
"43","X-007.LEE011 + everolimus","angle","NA"
"44","X-007.LEE011 + everolimus","abc","NA"
"45","X-007.LEE011 + everolimus","TGI","NA"
"46","X-007.LJM716","angle","NA"
"47","X-007.LJM716","abc","NA"
"48","X-007.LJM716","TGI","NA"
"49","X-007.LJM716 + trastuzumab","angle","NA"
"50","X-007.LJM716 + trastuzumab","abc","NA"
"51","X-007.LJM716 + trastuzumab","TGI","NA"
"52","X-007.LLM871","angle","NA"
"53","X-007.LLM871","abc","NA"
"54","X-007.LLM871","TGI","NA"
"55","X-007.trastuzumab","angle","NA"
"56","X-007.trastuzumab","abc","NA"
"57","X-007.trastuzumab","TGI","NA"
"58","X-010.BGJ398","angle","9.2037"
"59","X-010.BGJ398","abc","341.9251"
"60","X-010.BGJ398","TGI","37.7187"
"61","X-010.binimetinib","angle","2.4749"
"62","X-010.binimetinib","abc","105.2655"
"63","X-010.binimetinib","TGI","-26.1935"
"64","X-010.BKM120","angle","7.7119"
"65","X-010.BKM120","abc","301.8001"
"66","X-010.BKM120","TGI","509.8000"
"67","X-010.BYL719","angle","4.1761"
"68","X-010.BYL719","abc","319.4221"
"69","X-010.BYL719","TGI","23.3045"
"70","X-010.BYL719 + HSP990","angle","20.6475"
"71","X-010.BYL719 + HSP990","abc","395.8805"
"72","X-010.BYL719 + HSP990","TGI","40.2091"
"73","X-010.BYL719 + LJM716","angle","-3.4794"
"74","X-010.BYL719 + LJM716","abc","-522.0734"
"75","X-010.BYL719 + LJM716","TGI","16.0317"
"76","X-010.CLR457","angle","11.1134"
"77","X-010.CLR457","abc","203.4686"
"78","X-010.CLR457","TGI","35.6697"
"79","X-010.everolimus","angle","2.2671"
"80","X-010.everolimus","abc","202.5751"
"81","X-010.everolimus","TGI","39.9631"
"82","X-010.figitumumab","angle","2.1126"
"83","X-010.figitumumab","abc","262.3938"
"84","X-010.figitumumab","TGI","23.3625"
"85","X-010.HDM201","angle","2.0420"
"86","X-010.HDM201","abc","234.9888"
"87","X-010.HDM201","TGI","37.9435"
"88","X-010.HSP990","angle","-6.9453"
"89","X-010.HSP990","abc","-367.3357"
"90","X-010.HSP990","TGI","39.5769"
"91","X-010.INC280","angle","-2.2530"
"92","X-010.INC280","abc","-83.4496"
"93","X-010.INC280","TGI","-7.9065"
"94","X-010.INC280 + trastuzumab","angle","0.1395"
"95","X-010.INC280 + trastuzumab","abc","45.2044"
"96","X-010.INC280 + trastuzumab","TGI","-1.8899"
"97","X-010.LEE011","angle","25.2051"
"98","X-010.LEE011","abc","337.8788"
"99","X-010.LEE011","TGI","-42.6258"
"100","X-010.LEE011 + everolimus","angle","160.2716"
"101","X-010.LEE011 + everolimus","abc","486.4538"
"102","X-010.LEE011 + everolimus","TGI","42.4022"
"103","X-010.LJM716","angle","-3.2668"
"104","X-010.LJM716","abc","-434.4187"
"105","X-010.LJM716","TGI","16.8950"
"106","X-010.LJM716 + trastuzumab","angle","1.9308"
"107","X-010.LJM716 + trastuzumab","abc","205.5771"
"108","X-010.LJM716 + trastuzumab","TGI","27.4000"
"109","X-010.LLM871","angle","162.4107"
"110","X-010.LLM871","abc","448.0271"
"111","X-010.LLM871","TGI","62.9632"
"112","X-010.trastuzumab","angle","1.5444"
"113","X-010.trastuzumab","abc","218.3438"
"114","X-010.trastuzumab","TGI","19.1956"
"115","X-011.BGJ398","angle","NA"
"116","X-011.BGJ398","abc","NA"
"117","X-011.BGJ398","TGI","NA"
"118","X-011.binimetinib","angle","NA"
"119","X-011.binimetinib","abc","NA"
"120","X-011.binimetinib","TGI","NA"
"121","X-011.BKM120","angle","NA"
"122","X-011.BKM120","abc","NA"
"123","X-011.BKM120","TGI","NA"
"124","X-011.BYL719","angle","NA"
"125","X-011.BYL719","abc","NA"
"126","X-011.BYL719","TGI","NA"
"127","X-011.BYL719 + HSP990","angle","NA"
"128","X-011.BYL719 + HSP990","abc","NA"
"129","X-011.BYL719 + HSP990","TGI","NA"
"130","X-011.BYL719 + LJM716","angle","NA"
"131","X-011.BYL719 + LJM716","abc","NA"
"132","X-011.BYL719 + LJM716","TGI","NA"
"133","X-011.CLR457","angle","NA"
"134","X-011.CLR457","abc","NA"
"135","X-011.CLR457","TGI","NA"
"136","X-011.everolimus","angle","NA"
"137","X-011.everolimus","abc","NA"
"138","X-011.everolimus","TGI","NA"
"139","X-011.figitumumab","angle","NA"
"140","X-011.figitumumab","abc","NA"
"141","X-011.figitumumab","TGI","NA"
"142","X-011.HDM201","angle","NA"
"143","X-011.HDM201","abc","NA"
"144","X-011.HDM201","TGI","NA"
"145","X-011.HSP990","angle","NA"
"146","X-011.HSP990","abc","NA"
"147","X-011.HSP990","TGI","NA"
"148","X-011.INC280","angle","NA"
"149","X-011.INC280","abc","NA"
"150","X-011.INC280","TGI","NA"
"151","X-011.INC280 + trastuzumab","angle","NA"
"152","X-011.INC280 + trastuzumab","abc","NA"
"153","X-011.INC280 + trastuzumab","TGI","NA"
