"","model.id","biobase.id","mDataType"
"175","X.1199.abne","X-1199","RNASeq_FPKM"
"176","X.1199.biib","X-1199","RNASeq_FPKM"
"177","X.1199.bipk","X-1199","RNASeq_FPKM"
"178","X.1199.BK20","X-1199","RNASeq_FPKM"
"179","X.1199.BK20.biib","X-1199","RNASeq_FPKM"
"180","X.1199.BK20.LD25","X-1199","RNASeq_FPKM"
"181","X.1199.BY19","X-1199","RNASeq_FPKM"
"182","X.1199.BY19.LJ16","X-1199","RNASeq_FPKM"
"183","X.1199.CL57","X-1199","RNASeq_FPKM"
"184","X.1199.fiab","X-1199","RNASeq_FPKM"
"185","X.1199.fiab.biib","X-1199","RNASeq_FPKM"
"186","X.1199.gepk","X-1199","RNASeq_FPKM"
"187","X.1199.IN24","X-1199","RNASeq_FPKM"
"188","X.1199.IN24.biib","X-1199","RNASeq_FPKM"
"189","X.1199.LE11","X-1199","RNASeq_FPKM"
"190","X.1199.LK36","X-1199","RNASeq_FPKM"
"191","X.1199.trib","X-1199","RNASeq_FPKM"
"192","X.1199.uned","X-1199","RNASeq_FPKM"
"193","X.1199.WN74","X-1199","RNASeq_FPKM"
"218","X.1289.abne","X-1289","RNASeq_FPKM"
"219","X.1289.bipk","X-1289","RNASeq_FPKM"
"220","X.1289.BK20","X-1289","RNASeq_FPKM"
"221","X.1289.BY19","X-1289","RNASeq_FPKM"
"222","X.1289.BY19.LJ16","X-1289","RNASeq_FPKM"
"223","X.1289.CL57","X-1289","RNASeq_FPKM"
"224","X.1289.fiab","X-1289","RNASeq_FPKM"
"225","X.1289.fiab.biib","X-1289","RNASeq_FPKM"
"226","X.1289.gepk","X-1289","RNASeq_FPKM"
"227","X.1289.HD01","X-1289","RNASeq_FPKM"
"228","X.1289.IN24","X-1289","RNASeq_FPKM"
"229","X.1289.LE11","X-1289","RNASeq_FPKM"
"230","X.1289.LK36","X-1289","RNASeq_FPKM"
"231","X.1289.trib","X-1289","RNASeq_FPKM"
"232","X.1289.uned","X-1289","RNASeq_FPKM"
"233","X.1289.WN74","X-1289","RNASeq_FPKM"
"298","X.1317.biib","X-1317","RNASeq_FPKM"
"299","X.1317.bipk","X-1317","RNASeq_FPKM"
"300","X.1317.BK20.biib","X-1317","RNASeq_FPKM"
"301","X.1317.BK20.LD25","X-1317","RNASeq_FPKM"
"302","X.1317.fiab","X-1317","RNASeq_FPKM"
"303","X.1317.gepk","X-1317","RNASeq_FPKM"
"304","X.1317.IN24.biib","X-1317","RNASeq_FPKM"
"305","X.1317.LE11","X-1317","RNASeq_FPKM"
"306","X.1317.uned","X-1317","RNASeq_FPKM"
"352","X.1362.abne","X-1362","RNASeq_FPKM"
"353","X.1362.biib","X-1362","RNASeq_FPKM"
"354","X.1362.bipk","X-1362","RNASeq_FPKM"
"355","X.1362.BK20","X-1362","RNASeq_FPKM"
"356","X.1362.BK20.biib","X-1362","RNASeq_FPKM"
"357","X.1362.BK20.LD25","X-1362","RNASeq_FPKM"
"358","X.1362.BY19","X-1362","RNASeq_FPKM"
"359","X.1362.BY19.LJ16","X-1362","RNASeq_FPKM"
"360","X.1362.CL57","X-1362","RNASeq_FPKM"
"361","X.1362.fiab","X-1362","RNASeq_FPKM"
"362","X.1362.fiab.biib","X-1362","RNASeq_FPKM"
"363","X.1362.gepk","X-1362","RNASeq_FPKM"
"364","X.1362.HD01","X-1362","RNASeq_FPKM"
"365","X.1362.IN24","X-1362","RNASeq_FPKM"
"366","X.1362.IN24.biib","X-1362","RNASeq_FPKM"
