"","X-1156","X-1172","X-1189","X-1228","X-1323","X-1442","X-1499","X-1586","X-1658","X-1683","X-1725","X-1787","X-1795","X-1823","X-1834","X-1835","X-1869","X-1870","X-1934","X-1979","X-1980","X-1993","X-2017","X-2042","X-20508","X-20689","X-20810","X-2082","X-2088","X-2094","X-21617","X-3029","X-3237","X-3843","X-4819","X-5267"
"BGJ398","PD","PD","PD","SD","SD","PD","PD","SD","PD","CR","SD","PD","","PD","PD","PD","PD","SD","SD","","PD","PD","PD","SD","","","","PD","SD","PD","","SD","PD","PD","NA",""
"binimetinib","PD","PR","PD","PD","PR","SD","PD","SD","PD","PR","SD","SD","","NA","SD","CR","NA","SD","PD","","SD","SD","PR","SD","","","","PR","NA","CR","","CR","PR","SD","SD",""
"BKM120","PD","PR","PR","PR","SD","SD","PD","SD","SD","PR","SD","SD","","NA","SD","PD","CR","SD","NA","","SD","PD","PD","SD","","","","PD","PD","PD","","PR","SD","SD","PD",""
"BKM120 + binimetinib","PD","SD","PD","PR","SD","SD","PD","PR","SD","PR","SD","SD","","PD","SD","PD","CR","SD","PD","","SD","PD","SD","PR","","","","SD","NA","SD","","PR","SD","PD","NA",""
"BYL719","PD","SD","PD","PR","SD","SD","NA","SD","SD","PR","SD","PD","","PD","SD","PD","PD","PD","NA","","PD","SD","SD","SD","","","","SD","PD","PD","","PR","SD","SD","PD",""
"BYL719 + LGH447","PD","SD","CR","CR","PR","PD","PD","PR","SD","PR","PD","PD","","NA","NA","PD","CR","SD","NA","","SD","SD","SD","SD","","","","SD","SD","SD","","PR","SD","SD","NA",""
"BYL719 + LJM716","PD","PD","CR","PR","SD","PD","PD","PR","PR","PR","SD","SD","","PD","PD","SD","NA","SD","SD","","PD","SD","PD","SD","","","","SD","NA","PD","","PR","PD","SD","NA",""
"cetuximab","PD","PD","PD","PR","SD","PD","PD","SD","PD","SD","SD","NA","","PD","PD","SD","NA","SD","NA","","SD","SD","PD","PD","","","","PD","NA","PD","","PR","PD","PD","NA",""
"CGM097","PD","PD","SD","SD","PD","PD","CR","SD","PD","PR","SD","PD","","NA","PD","PD","NA","PD","NA","","PD","PD","PD","PD","","","","SD","NA","PD","","PR","PD","PD","NA",""
"CKX620","PD","SD","SD","CR","SD","SD","PD","PR","PD","PR","SD","SD","","PD","SD","PR","SD","SD","NA","","SD","PR","PR","PR","","","","PR","SD","SD","","PR","SD","PD","SD",""
"CLR457","PD","PD","SD","SD","SD","PD","PD","SD","SD","SD","PD","PD","","PD","SD","SD","NA","SD","NA","","SD","PR","PD","SD","","","","PD","NA","PD","","PR","SD","SD","PD",""
"erlotinib","PD","PD","CR","SD","SD","NA","PD","SD","PR","PR","SD","PD","","PD","SD","SD","NA","SD","NA","","SD","SD","PD","NA","","","","SD","NA","PD","","PR","SD","PD","NA",""
"HDM201","PD","SD","SD","SD","PD","PD","PD","SD","SD","SD","PR","PD","","PD","PD","SD","CR","SD","NA","","SD","PD","PD","PD","","","","PD","PD","PD","","SD","PD","PD","NA",""
"HSP990","PD","SD","SD","SD","NA","PD","NA","SD","SD","PR","PR","PD","","PD","SD","SD","CR","NA","NA","","SD","PD","PD","SD","","","","SD","SD","PD","","PR","SD","SD","NA",""
"INC280","PD","PD","NA","SD","PD","PD","NA","SD","PD","PR","PD","SD","","NA","SD","PD","PD","","NA","","PD","PD","PD","SD","","","","PD","NA","PD","","PR","PD","PD","PD",""
"LCL161 + paclitaxel","PD","PR","CR","SD","SD","PD","PD","SD","CR","CR","SD","PD","","NA","PR","PR","PR","PR","NA","","PD","PR","SD","PR","","","","PR","CR","PD","","PR","SD","SD","PD",""
"LEE011","PD","SD","PD","SD","PD","PD","SD","SD","PD","PR","SD","SD","","PD","PD","SD","CR","SD","NA","","PD","PD","PD","PD","","","","PR","NA","PD","","PR","SD","SD","NA",""
"LFW527 + binimetinib","SD","SD","","SD","SD","","SD","SD","PD","","SD","PD","PD","PD","PD","PR","PD","SD","PD","SD","SD","PR","PR","PR","SD","SD","PR","PR","NA","SD","NA","","SD","SD","PD","SD"
"LGH447","PD","PD","PD","SD","PD","PD","NA","SD","PD","PR","SD","PD","","PD","NA","SD","SD","SD","NA","","SD","PD","PD","SD","","","","SD","SD","PD","","PR","PD","PD","PD",""
"LLM871","PD","PD","PD","PR","PD","PD","NA","SD","PD","PR","SD","SD","","PD","NA","SD","NA","SD","NA","","PD","PD","SD","SD","","","","PD","CR","PD","","PR","SD","SD","NA",""
"paclitaxel","PD","SD","CR","SD","PD","NA","NA","PD","SD","PR","SD","PD","","PD","PD","PD","NA","SD","PD","","PD","PD","SD","SD","","","","PD","","SD","","PR","PD","PD","PD",""
"untreated","PD","PD","SD","PD","PD","PD","NA","SD","PD","SD","PD","PD","","PD","PD","SD","NA","SD","NA","","PD","PD","PD","PD","","","","PD","NA","PD","","SD","NA","PD","NA",""
