"","X-0991","X-1199","X-1289","X-1317","X-1362","X-1948","X-1959","X-2026","X-2043","X-2081","X-2283","X-2339","X-2428","X-2470","X-2564","X-2633","X-2684","X-2997","X-3028","X-3038","X-3052","X-3209","X-3268","X-3782","X-3800","X-3816","X-3846","X-3898","X-3947","X-3990","X-4015","X-4018","X-4215","X-4226","X-4316","X-4377","X-4378","X-4439","X-4649","X-4676","X-4927","X-5205"
"abraxane","X.0991.abne","X.1199.abne","X.1289.abne","","X.1362.abne","X.1948.abne","","","X.2043.abne","","X.2283.abne","X.2339.abne","X.2428.abne","X.2470.abne","X.2564.abne","X.2633.abne","X.2684.abne","X.2997.abne","X.3028.abne","X.3038.abne","X.3052.abne","X.3209.abne","X.3268.abne","X.3782.abne","X.3800.abne","X.3816.abne","X.3846.abne","X.3898.abne","X.3947.abne","X.3990.abne","X.4015.abne","X.4018.abne","X.4215.abne","X.4226.abne","X.4316.abne","X.4377.abne","X.4378.abne","X.4439.abne","X.4649.abne","X.4676.abne","X.4927.abne",""
"binimetinib","X.0991.biib","X.1199.biib","","X.1317.biib","X.1362.biib","X.1948.biib","X.1959.biib","X.2026.biib","X.2043.biib","X.2081.biib","","X.2339.biib","X.2428.biib","","X.2564.biib","X.2633.biib","X.2684.biib","X.2997.biib","X.3028.biib","X.3038.biib","X.3052.biib","X.3209.biib","X.3268.biib","X.3782.biib","X.3800.biib","X.3816.biib","X.3846.biib","X.3898.biib","X.3947.biib","X.3990.biib","X.4015.biib","X.4018.biib","X.4215.biib","X.4226.biib","X.4316.biib","X.4377.biib","X.4378.biib","X.4439.biib","X.4649.biib","X.4676.biib","X.4927.biib","X.5205.biib"
"binimetinib-3.5mpk","X.0991.bipk","X.1199.bipk","X.1289.bipk","X.1317.bipk","X.1362.bipk","X.1948.bipk","","","X.2043.bipk","X.2081.bipk","X.2283.bipk","X.2339.bipk","X.2428.bipk","X.2470.bipk","X.2564.bipk","X.2633.bipk","X.2684.bipk","X.2997.bipk","X.3028.bipk","X.3038.bipk","X.3052.bipk","","X.3268.bipk","X.3782.bipk","","X.3816.bipk","X.3846.bipk","X.3898.bipk","X.3947.bipk","X.3990.bipk","","X.4018.bipk","X.4215.bipk","X.4226.bipk","X.4316.bipk","X.4377.bipk","X.4378.bipk","X.4439.bipk","X.4649.bipk","X.4676.bipk","X.4927.bipk","X.5205.bipk"
"BKM120 + binimetinib","X.0991.BK20.biib","X.1199.BK20.biib","","X.1317.BK20.biib","X.1362.BK20.biib","X.1948.BK20.biib","X.1959.BK20.biib","X.2026.BK20.biib","X.2043.BK20.biib","X.2081.BK20.biib","","X.2339.BK20.biib","X.2428.BK20.biib","","X.2564.BK20.biib","X.2633.BK20.biib","X.2684.BK20.biib","X.2997.BK20.biib","X.3028.BK20.biib","X.3038.BK20.biib","X.3052.BK20.biib","X.3209.BK20.biib","X.3268.BK20.biib","X.3782.BK20.biib","X.3800.BK20.biib","X.3816.BK20.biib","X.3846.BK20.biib","X.3898.BK20.biib","X.3947.BK20.biib","X.3990.BK20.biib","X.4015.BK20.biib","X.4018.BK20.biib","","X.4226.BK20.biib","","X.4377.BK20.biib","X.4378.BK20.biib","X.4439.BK20.biib","X.4649.BK20.biib","X.4676.BK20.biib","X.4927.BK20.biib","X.5205.BK20.biib"
"BKM120 + LDE225","X.0991.BK20.LD25","X.1199.BK20.LD25","","X.1317.BK20.LD25","X.1362.BK20.LD25","X.1948.BK20.LD25","","","X.2043.BK20.LD25","X.2081.BK20.LD25","","","X.2428.BK20.LD25","","X.2564.BK20.LD25","X.2633.BK20.LD25","X.2684.BK20.LD25","X.2997.BK20.LD25","X.3028.BK20.LD25","X.3038.BK20.LD25","X.3052.BK20.LD25","X.3209.BK20.LD25","X.3268.BK20.LD25","","X.3800.BK20.LD25","","X.3846.BK20.LD25","X.3898.BK20.LD25","X.3947.BK20.LD25","X.3990.BK20.LD25","X.4015.BK20.LD25","X.4018.BK20.LD25","X.4215.BK20.LD25","X.4226.BK20.LD25","X.4316.BK20.LD25","X.4377.BK20.LD25","X.4378.BK20.LD25","X.4439.BK20.LD25","X.4649.BK20.LD25","X.4676.BK20.LD25","X.4927.BK20.LD25","X.5205.BK20.LD25"
"BYL719","X.0991.BY19","X.1199.BY19","X.1289.BY19","","X.1362.BY19","X.1948.BY19","","X.2026.BY19","X.2043.BY19","X.2081.BY19","X.2283.BY19","X.2339.BY19","X.2428.BY19","X.2470.BY19","X.2564.BY19","X.2633.BY19","X.2684.BY19","X.2997.BY19","X.3028.BY19","X.3038.BY19","X.3052.BY19","","X.3268.BY19","","X.3800.BY19","X.3816.BY19","X.3846.BY19","X.3898.BY19","X.3947.BY19","X.3990.BY19","X.4015.BY19","X.4018.BY19","X.4215.BY19","X.4226.BY19","X.4316.BY19","X.4377.BY19","X.4378.BY19","X.4439.BY19","X.4649.BY19","X.4676.BY19","X.4927.BY19","X.5205.BY19"
"BYL719 + LJM716","X.0991.BY19.LJ16","X.1199.BY19.LJ16","X.1289.BY19.LJ16","","X.1362.BY19.LJ16","X.1948.BY19.LJ16","","X.2026.BY19.LJ16","X.2043.BY19.LJ16","X.2081.BY19.LJ16","","X.2339.BY19.LJ16","X.2428.BY19.LJ16","","X.2564.BY19.LJ16","X.2633.BY19.LJ16","X.2684.BY19.LJ16","X.2997.BY19.LJ16","X.3028.BY19.LJ16","X.3038.BY19.LJ16","X.3052.BY19.LJ16","X.3209.BY19.LJ16","X.3268.BY19.LJ16","","X.3800.BY19.LJ16","X.3816.BY19.LJ16","","X.3898.BY19.LJ16","X.3947.BY19.LJ16","X.3990.BY19.LJ16","X.4015.BY19.LJ16","","X.4215.BY19.LJ16","X.4226.BY19.LJ16","X.4316.BY19.LJ16","","X.4378.BY19.LJ16","X.4439.BY19.LJ16","X.4649.BY19.LJ16","X.4676.BY19.LJ16","X.4927.BY19.LJ16","X.5205.BY19.LJ16"
"CLR457","X.0991.CL57","X.1199.CL57","X.1289.CL57","","X.1362.CL57","X.1948.CL57","","X.2026.CL57","X.2043.CL57","X.2081.CL57","X.2283.CL57","X.2339.CL57","X.2428.CL57","X.2470.CL57","X.2564.CL57","X.2633.CL57","X.2684.CL57","X.2997.CL57","X.3028.CL57","X.3038.CL57","X.3052.CL57","","X.3268.CL57","X.3782.CL57","X.3800.CL57","X.3816.CL57","X.3846.CL57","","X.3947.CL57","X.3990.CL57","X.4015.CL57","X.4018.CL57","X.4215.CL57","X.4226.CL57","X.4316.CL57","X.4377.CL57","X.4378.CL57","X.4439.CL57","X.4649.CL57","X.4676.CL57","","X.5205.CL57"
"figitumumab","X.0991.fiab","X.1199.fiab","X.1289.fiab","X.1317.fiab","X.1362.fiab","X.1948.fiab","","","X.2043.fiab","X.2081.fiab","","X.2339.fiab","X.2428.fiab","X.2470.fiab","X.2564.fiab","X.2633.fiab","X.2684.fiab","X.2997.fiab","X.3028.fiab","X.3038.fiab","X.3052.fiab","","X.3268.fiab","X.3782.fiab","X.3800.fiab","X.3816.fiab","X.3846.fiab","X.3898.fiab","X.3947.fiab","X.3990.fiab","X.4015.fiab","X.4018.fiab","X.4215.fiab","X.4226.fiab","X.4316.fiab","X.4377.fiab","X.4378.fiab","X.4439.fiab","X.4649.fiab","X.4676.fiab","X.4927.fiab","X.5205.fiab"
"figitumumab + binimetinib","X.0991.fiab.biib","X.1199.fiab.biib","X.1289.fiab.biib","","X.1362.fiab.biib","X.1948.fiab.biib","","X.2026.fiab.biib","X.2043.fiab.biib","X.2081.fiab.biib","","X.2339.fiab.biib","X.2428.fiab.biib","X.2470.fiab.biib","X.2564.fiab.biib","X.2633.fiab.biib","X.2684.fiab.biib","X.2997.fiab.biib","X.3028.fiab.biib","X.3038.fiab.biib","X.3052.fiab.biib","X.3209.fiab.biib","X.3268.fiab.biib","X.3782.fiab.biib","X.3800.fiab.biib","X.3816.fiab.biib","X.3846.fiab.biib","X.3898.fiab.biib","X.3947.fiab.biib","X.3990.fiab.biib","X.4015.fiab.biib","X.4018.fiab.biib","X.4215.fiab.biib","X.4226.fiab.biib","X.4316.fiab.biib","X.4377.fiab.biib","X.4378.fiab.biib","X.4439.fiab.biib","X.4649.fiab.biib","X.4676.fiab.biib","X.4927.fiab.biib",""
