"","batch.name","model.id","type"
"1","X-1004.BGJ398","X.1004.BG98","treatment"
"2","X-1004.BGJ398","X.1004.uned","control"
"3","X-1004.binimetinib","X.1004.biib","treatment"
"4","X-1004.binimetinib","X.1004.uned","control"
"5","X-1004.BKM120","X.1004.BK20","treatment"
"6","X-1004.BKM120","X.1004.uned","control"
"7","X-1004.BYL719","X.1004.BY19","treatment"
"8","X-1004.BYL719","X.1004.uned","control"
"9","X-1004.BYL719 + LEE011","X.1004.BY19.LE11","treatment"
"10","X-1004.BYL719 + LEE011","X.1004.uned","control"
"11","X-1004.BYL719 + LJM716","X.1004.BY19.LJ16","treatment"
"12","X-1004.BYL719 + LJM716","X.1004.uned","control"
"13","X-1004.CGM097","X.1004.CG97","treatment"
"14","X-1004.CGM097","X.1004.uned","control"
"15","X-1004.CLR457","X.1004.CL57","treatment"
"16","X-1004.CLR457","X.1004.uned","control"
"17","X-1004.HDM201","X.1004.HD01","treatment"
"18","X-1004.HDM201","X.1004.uned","control"
"19","X-1004.INC424","X.1004.IN24","treatment"
"20","X-1004.INC424","X.1004.uned","control"
"21","X-1004.LEE011","X.1004.LE11","treatment"
"22","X-1004.LEE011","X.1004.uned","control"
"23","X-1004.LEE011 + everolimus","X.1004.LE11.evus","treatment"
"24","X-1004.LEE011 + everolimus","X.1004.uned","control"
"25","X-1004.LFA102","X.1004.LF02","treatment"
"26","X-1004.LFA102","X.1004.uned","control"
"27","X-1004.LFW527 + everolimus","X.1004.LF27.evus","treatment"
"28","X-1004.LFW527 + everolimus","X.1004.uned","control"
"29","X-1004.LJM716","X.1004.LJ16","treatment"
"30","X-1004.LJM716","X.1004.uned","control"
"31","X-1004.LJM716 + trastuzumab","X.1004.LJ16.trab","treatment"
"32","X-1004.LJM716 + trastuzumab","X.1004.uned","control"
"33","X-1004.LKA136","X.1004.LK36","treatment"
"34","X-1004.LKA136","X.1004.uned","control"
"35","X-1004.LLM871","X.1004.LL71","treatment"
"36","X-1004.LLM871","X.1004.uned","control"
"37","X-1004.paclitaxel","X.1004.pael","treatment"
"38","X-1004.paclitaxel","X.1004.uned","control"
"39","X-1004.tamoxifen","X.1004.taen","treatment"
"40","X-1004.tamoxifen","X.1004.uned","control"
"41","X-1004.trastuzumab","X.1004.trab","treatment"
"42","X-1004.trastuzumab","X.1004.uned","control"
"43","X-1008.BGJ398","X.1008.BG98","treatment"
"44","X-1008.BGJ398","X.1008.uned","control"
"45","X-1008.binimetinib","X.1008.biib","treatment"
"46","X-1008.binimetinib","X.1008.uned","control"
"47","X-1008.BKM120","X.1008.BK20","treatment"
"48","X-1008.BKM120","X.1008.uned","control"
"49","X-1008.BYL719","X.1008.BY19","treatment"
"50","X-1008.BYL719","X.1008.uned","control"
"51","X-1008.BYL719 + LEE011","X.1008.BY19.LE11","treatment"
"52","X-1008.BYL719 + LEE011","X.1008.uned","control"
"53","X-1008.BYL719 + LJM716","X.1008.BY19.LJ16","treatment"
"54","X-1008.BYL719 + LJM716","X.1008.uned","control"
"55","X-1008.CGM097","X.1008.CG97","treatment"
"56","X-1008.CGM097","X.1008.uned","control"
"57","X-1008.CLR457","X.1008.CL57","treatment"
"58","X-1008.CLR457","X.1008.uned","control"
"59","X-1008.HDM201","X.1008.HD01","treatment"
"60","X-1008.HDM201","X.1008.uned","control"
"61","X-1008.INC424","X.1008.IN24","treatment"
"62","X-1008.INC424","X.1008.uned","control"
"63","X-1008.LEE011","X.1008.LE11","treatment"
"64","X-1008.LEE011","X.1008.uned","control"
"65","X-1008.LEE011 + everolimus","X.1008.LE11.evus","treatment"
"66","X-1008.LEE011 + everolimus","X.1008.uned","control"
"67","X-1008.LFA102","X.1008.LF02","treatment"
"68","X-1008.LFA102","X.1008.uned","control"
"69","X-1008.LFW527 + everolimus","X.1008.LF27.evus","treatment"
"70","X-1008.LFW527 + everolimus","X.1008.uned","control"
"71","X-1008.LJM716","X.1008.LJ16","treatment"
"72","X-1008.LJM716","X.1008.uned","control"
"73","X-1008.LJM716 + trastuzumab","X.1008.LJ16.trab","treatment"
"74","X-1008.LJM716 + trastuzumab","X.1008.uned","control"
"75","X-1008.LKA136","X.1008.LK36","treatment"
"76","X-1008.LKA136","X.1008.uned","control"
"77","X-1008.LLM871","X.1008.LL71","treatment"
"78","X-1008.LLM871","X.1008.uned","control"
"79","X-1008.paclitaxel","X.1008.pael","treatment"
"80","X-1008.paclitaxel","X.1008.uned","control"
"81","X-1008.tamoxifen","X.1008.taen","treatment"
"82","X-1008.tamoxifen","X.1008.uned","control"
"83","X-1008.trastuzumab","X.1008.trab","treatment"
"84","X-1008.trastuzumab","X.1008.uned","control"
"85","X-1286.BGJ398","X.1286.BG98","treatment"
"86","X-1286.BGJ398","X.1286.uned","control"
"87","X-1286.binimetinib","X.1286.biib","treatment"
"88","X-1286.binimetinib","X.1286.uned","control"
"89","X-1286.BKM120","X.1286.BK20","treatment"
"90","X-1286.BKM120","X.1286.uned","control"
"91","X-1286.BYL719","X.1286.BY19","treatment"
"92","X-1286.BYL719","X.1286.uned","control"
"93","X-1286.BYL719 + LEE011","X.1286.BY19.LE11","treatment"
"94","X-1286.BYL719 + LEE011","X.1286.uned","control"
"95","X-1286.BYL719 + LJM716","X.1286.BY19.LJ16","treatment"
"96","X-1286.BYL719 + LJM716","X.1286.uned","control"
"97","X-1286.CGM097","X.1286.CG97","treatment"
"98","X-1286.CGM097","X.1286.uned","control"
"99","X-1286.CLR457","X.1286.CL57","treatment"
"100","X-1286.CLR457","X.1286.uned","control"
"101","X-1286.HDM201","X.1286.HD01","treatment"
"102","X-1286.HDM201","X.1286.uned","control"
"103","X-1286.INC424","X.1286.IN24","treatment"
"104","X-1286.INC424","X.1286.uned","control"
"105","X-1286.LEE011","X.1286.LE11","treatment"
"106","X-1286.LEE011","X.1286.uned","control"
"107","X-1286.LEE011 + everolimus","X.1286.LE11.evus","treatment"
"108","X-1286.LEE011 + everolimus","X.1286.uned","control"
"109","X-1286.LFA102","X.1286.LF02","treatment"
"110","X-1286.LFA102","X.1286.uned","control"
"111","X-1286.LFW527 + everolimus","X.1286.LF27.evus","treatment"
"112","X-1286.LFW527 + everolimus","X.1286.uned","control"
"113","X-1286.LJM716","X.1286.LJ16","treatment"
"114","X-1286.LJM716","X.1286.uned","control"
"115","X-1286.LJM716 + trastuzumab","X.1286.LJ16.trab","treatment"
"116","X-1286.LJM716 + trastuzumab","X.1286.uned","control"
"117","X-1286.LKA136","X.1286.LK36","treatment"
"118","X-1286.LKA136","X.1286.uned","control"
"119","X-1286.LLM871","X.1286.LL71","treatment"
"120","X-1286.LLM871","X.1286.uned","control"
"121","X-1286.paclitaxel","X.1286.pael","treatment"
"122","X-1286.paclitaxel","X.1286.uned","control"
"123","X-1286.tamoxifen","X.1286.taen","treatment"
"124","X-1286.tamoxifen","X.1286.uned","control"
"125","X-1286.trastuzumab","X.1286.trab","treatment"
"126","X-1286.trastuzumab","X.1286.uned","control"
"127","X-1298.BGJ398","X.1298.BG98","treatment"
"128","X-1298.BGJ398","X.1298.uned","control"
"129","X-1298.binimetinib","X.1298.biib","treatment"
"130","X-1298.binimetinib","X.1298.uned","control"
"131","X-1298.BKM120","X.1298.BK20","treatment"
"132","X-1298.BKM120","X.1298.uned","control"
"133","X-1298.BYL719","X.1298.BY19","treatment"
"134","X-1298.BYL719","X.1298.uned","control"
"135","X-1298.BYL719 + LEE011","X.1298.BY19.LE11","treatment"
"136","X-1298.BYL719 + LEE011","X.1298.uned","control"
"137","X-1298.BYL719 + LJM716","X.1298.BY19.LJ16","treatment"
"138","X-1298.BYL719 + LJM716","X.1298.uned","control"
"139","X-1298.CGM097","X.1298.CG97","treatment"
"140","X-1298.CGM097","X.1298.uned","control"
"141","X-1298.CLR457","X.1298.CL57","treatment"
"142","X-1298.CLR457","X.1298.uned","control"
