"","X-1156","X-1172","X-1323","X-1442","X-1499","X-1586","X-1658","X-1683","X-1725","X-1787","X-1795","X-1823","X-1834","X-1835","X-1934","X-1979","X-1980","X-1993","X-2017","X-2042","X-2082","X-2088","X-2094","X-3029","X-3237","X-3843","X-4819"
"ARMLEVELCNSCORE",0.65,0.5,0.52,0.58,0.34,0.52,0.37,0.21,0.25,0.55,0.61,0.67,0.33,0.43,0.38,0.45,0.6,0.46,0.64,0.25,0.6,0.54,0.34,0.43,0.39,0.42,0.52
"FOCALCNSCORE",0.2,0.22,0.48,0.29,0.22,0.34,0.28,0.1,0.11,0.21,0.5,0.23,0.29,0.55,0.78,0.14,0.27,0.43,0.29,0.02,0.11,0.52,0.36,0.24,0.23,0.39,0.14
"A1BG",3.94,2.17,1.35,2.99,1.59,2.06,3.18,1.75,2,2.69,1.99,1.08,2.01,2.01,2.79,2.48,2.01,2.22,2,2.01,1.89,1.24,1.69,2.35,1.93,1.87,1.45
"A1BG.AS1",3.94,2.17,1.35,2.99,1.59,2.06,3.18,1.75,2,2.69,1.99,1.08,2.01,2.01,2.79,2.48,2.01,2.22,2,2.01,1.89,1.24,1.69,2.35,1.93,1.87,1.45
"A1CF",1.58,1.89,2.43,1.97,1.6,1.97,1.71,2.01,1.97,1.62,1.27,2.04,1.99,3.41,2.33,2.68,2.04,1.38,2.64,2.04,1.91,2.36,2.3,2.75,2.62,2.83,1.36
"A2LD1",1.74,1.4,1.36,4.29,0.88,1.37,1.69,2.13,2.04,1.14,2.71,1.05,2.04,1.53,0.91,2.01,1.99,2.04,3.48,1.06,1.93,1.25,2.2,1.99,1.99,1.71,2.1
"A2M",3.25,2.3,2.51,2.57,1.45,1.93,1.93,2.22,1.89,2.57,2.62,2,1.88,1.53,2.89,2.17,2.06,1.33,2.5,1.93,1.82,2.6,1.18,2.57,2.55,2.41,1.33
"A2M.AS1",3.25,2.3,2.51,2.57,1.45,1.93,1.93,2.22,1.89,2.57,2.62,2,1.88,1.53,2.89,2.17,2.06,1.33,2.5,1.93,1.82,2.6,1.18,2.57,2.55,2.41,1.33
"A2ML1",3.25,2.3,2.51,2.57,1.45,1.93,1.93,2.22,1.89,2.57,2.62,2,1.88,1.53,2.89,2.17,2.06,1.33,2.5,1.93,1.82,2.6,1.18,2.57,2.55,2.41,1.33
"A2MP1",3.25,2.3,2.51,2.57,1.45,1.93,1.93,2.22,1.89,2.57,2.62,2,1.88,1.53,2.89,2.17,2.06,1.33,2.5,1.93,3.71,2.6,1.18,2.57,2.55,2.41,1.33
"A4GALT",1.64,1.46,1.37,1.97,1.8,3.18,1.75,2.01,2.04,1.96,2.46,2.06,1.99,1.96,1.43,2.55,1.89,1.4,2.03,1.96,1.96,1.39,1.65,2.35,2.95,2.38,2.13
"A4GNT",3.12,2.5,1.89,1.35,2.79,2.14,3.1,2.2,2.01,2.2,3.2,2.1,2.95,2.04,2.35,2.03,2.07,1.99,2.69,3.05,3.97,1.32,1.18,3.48,1.85,2.35,2.01
"AA06",1.62,2.51,1.77,1.97,2.93,2.58,2.17,2.04,1.97,1.82,2.5,1.05,1.97,2.99,1.87,1.97,1.99,2,1.33,1.93,1.88,2.1,1.67,1.32,1.66,2.3,1.35
