"","model.id","drug.join.name","time","volume","volume.normal"
"1","X.0933.5FFU","5FU",0,237.2,1
"2","X.0933.5FFU","5FU",3,233,0.982367758186398
"3","X.0933.5FFU","5FU",7,341.7,1.43870696893367
"4","X.0933.5FFU","5FU",10,755.4,3.17548278757347
"5","X.0933.5FFU","5FU",20,1016.1,4.26994122586062
"6","X.0933.5FFU","5FU",23,1081.6,4.54492023509656
"7","X.0933.5FFU","5FU",26,1121.6,4.71284634760705
"8","X.0933.5FFU","5FU",29,1336.5,5.61502938706969
"9","X.0933.biib","binimetinib",0,242.8,1
"10","X.0933.biib","binimetinib",7,288.2,1.18621821164889
"11","X.0933.biib","binimetinib",10,351.3,1.44503691550451
"12","X.0933.biib","binimetinib",14,406.4,1.67104183757178
"13","X.0933.biib","binimetinib",17,417.1,1.7149302707137
"14","X.0933.biib","binimetinib",21,368.9,1.51722723543888
"15","X.0933.biib","binimetinib",24,343.8,1.41427399507793
"16","X.0933.biib","binimetinib",29,442,1.81706316652994
"17","X.0933.BK20","BKM120",0,250.1,1
"18","X.0933.BK20","BKM120",7,176.8,0.708084428514536
"19","X.0933.BK20","BKM120",10,180.6,0.723217841497411
"20","X.0933.BK20","BKM120",14,180.5,0.722819593787336
"21","X.0933.BK20","BKM120",17,238,0.951812027080844
"22","X.0933.BK20","BKM120",21,276.8,1.1063321385902
"23","X.0933.BK20","BKM120",24,263.7,1.05416168857029
"24","X.0933.BK20","BKM120",29,329.5,1.31620868180008
"25","X.0933.BK20","BKM120",34,298.7,1.19354838709677
"26","X.0933.BK20","BKM120",37,313.9,1.25408203902828
"27","X.0933.BK20","BKM120",40,299.2,1.19553962564715
"28","X.0933.BK20","BKM120",43,305.6,1.221027479092
"29","X.0933.BK20","BKM120",50,355.7,1.4205495818399
"30","X.0933.BK20","BKM120",56,386.9,1.54480286738351
"31","X.0933.BK20","BKM120",59,399.6,1.59538032656312
"32","X.0933.BK20","BKM120",62,395.5,1.57905217045002
"33","X.0933.BK20.LJ49","BKM120 + LJC049",0,239.5,1
"34","X.0933.BK20.LJ49","BKM120 + LJC049",5,244,1.01871101871102
"35","X.0933.BK20.LJ49","BKM120 + LJC049",8,251.5,1.04989604989605
"36","X.0933.BK20.LJ49","BKM120 + LJC049",11,328.7,1.37089397089397
"37","X.0933.BK20.LJ49","BKM120 + LJC049",14,377.8,1.57505197505198
"38","X.0933.BK20.LJ49","BKM120 + LJC049",21,387.9,1.61704781704782
"39","X.0933.BK20.LJ49","BKM120 + LJC049",27,457.5,1.90644490644491
"40","X.0933.BK20.LJ49","BKM120 + LJC049",30,695.7,2.8968814968815
"41","X.0933.BK20.LJ49","BKM120 + LJC049",33,692.4,2.88316008316008
"42","X.0933.BY19","BYL719",0,259.9,1
"43","X.0933.BY19","BYL719",3,246.6,0.949022614028363
"44","X.0933.BY19","BYL719",7,172.8,0.666155615178229
"45","X.0933.BY19","BYL719",10,114.5,0.44269835185895
"46","X.0933.BY19","BYL719",15,121.1,0.467995400536604
"47","X.0933.BY19","BYL719",20,211.3,0.813721732464546
"48","X.0933.BY19","BYL719",23,218.5,0.841318512840169
"49","X.0933.BY19","BYL719",29,217.9,0.8390187811422
"50","X.0933.BY19","BYL719",36,329.8,1.26791874281334
"51","X.0933.BY19","BYL719",42,368.8,1.4174013031813
"52","X.0933.BY19","BYL719",45,411.5,1.58106554235339
"53","X.0933.BY19","BYL719",51,470.8,1.80835569183595
"54","X.0933.BY19","BYL719",56,512.7,1.96895362207742
"55","X.0933.BY19","BYL719",59,529.9,2.03487926408586
"56","X.0933.BY19","BYL719",62,521.9,2.00421617477961
"57","X.0933.BY19","BYL719",64,516.5,1.98351858949789
"58","X.0933.BY19","BYL719",69,609.7,2.34074357991568
"59","X.0933.BY19","BYL719",72,635,2.43771559984668
"60","X.0933.BY19.biib","BYL719 + binimetinib",0,203.6,1
"61","X.0933.BY19.biib","BYL719 + binimetinib",4,202.4,0.994134897360704
