"","X-0933","X-0988","X-0992","X-1027","X-1055","X-1119","X-1167","X-1173","X-1210","X-1234","X-1256","X-1270","X-1290","X-1303","X-1310","X-1329","X-1333","X-1402","X-1441","X-1443","X-1479","X-1500","X-1536","X-1538","X-1855","X-2145","X-2182","X-2239","X-2374","X-2403","X-2483","X-2484","X-2514","X-2538","X-2573","X-2659","X-2761","X-2822","X-2846","X-2861","X-3093","X-3205","X-3224","X-3267","X-3671","X-3684","X-3792","X-4087","X-4145","X-5238","X-5254","X-5405","X-5421","X-5438","X-5446","X-5494","X-5495","X-5536","X-5578"
"5FU","PD","","","PD","SD","SD","SD","SD","","","","PD","SD","SD","","PD","","","SD","SD","SD","SD","SD","","SD","PD","PD","SD","SD","SD","SD","SD","","SD","SD","PD","","SD","PD","PD","PD","PD","SD","SD","PD","","PD","SD","","","SD","SD","","PD","SD","SD","PD","","PD"
"binimetinib","PD","","","NA","SD","PD","PD","SD","","","","NA","NA","SD","","PD","","","PR","SD","SD","SD","SD","","SD","SD","PD","SD","SD","PD","SD","SD","","SD","SD","PD","","SD","SD","PD","NA","SD","PD","SD","SD","","PD","SD","SD","","SD","SD","","SD","PD","SD","SD","","PD"
"BKM120","SD","","","PD","SD","SD","SD","PR","","","","PD","NA","PD","","PD","","","PR","PD","SD","SD","SD","","SD","SD","PD","","SD","PD","SD","SD","","SD","PD","SD","","SD","SD","PD","SD","SD","SD","SD","","","PD","PD","PD","","SD","SD","","SD","PD","SD","SD","","SD"
"BKM120 + LJC049","PD","","","PD","SD","PD","PD","SD","","","","SD","SD","","","PD","","","NA","PD","SD","PR","SD","","SD","SD","PD","SD","SD","PD","SD","PD","","SD","PR","SD","","SD","SD","PD","PD","SD","PD","SD","","","PD","PD","","","PD","SD","","PD","PD","SD","SD","","SD"
"BYL719","PR","","","PD","SD","PD","PD","PD","","","","SD","PD","SD","","NA","","","SD","PD","SD","PR","SD","SD","SD","PD","PD","PD","PD","SD","SD","PR","","SD","SD","PD","","SD","SD","PD","SD","SD","SD","SD","","","SD","NA","SD","","SD","PD","","SD","SD","PD","SD","","PD"
"BYL719 + binimetinib","SD","","","PD","PR","SD","SD","PR","","","","SD","PD","SD","","PR","","","PR","PR","PR","PR","SD","SD","SD","PR","PD","SD","SD","SD","SD","SD","","SD","SD","SD","","SD","SD","SD","NA","SD","PD","SD","","","SD","PD","","","PD","SD","","SD","SD","PR","PR","","SD"
"BYL719 + cetuximab","PD","","","SD","PR","PD","PD","PD","","","","PD","PD","SD","","PD","","","SD","PR","SD","PR","SD","","PD","PD","PD","PD","SD","SD","SD","SD","","SD","SD","SD","","SD","CR","PD","SD","PD","SD","SD","","","PD","SD","","","PD","SD","","SD","SD","","SD","","PD"
"BYL719 + cetuximab + encorafenib","PR","","","PD","PR","PD","SD","SD","","","","PD","PD","SD","","PD","","","SD","PR","PD","PR","SD","","SD","PR","PD","SD","PD","PR","SD","SD","","SD","SD","PD","","SD","PR","PD","PD","PD","PD","SD","","","SD","PD","","","SD","PD","","SD","PD","PR","PD","","PD"
"BYL719 + encorafenib","SD","","","PD","SD","PD","PD","SD","","","","PD","PD","","","SD","","","SD","SD","SD","PD","SD","","SD","PR","PD","PR","SD","PD","SD","PD","","PD","PD","PD","","SD","SD","PD","PD","PD","PD","SD","","","PD","PD","","","PD","PD","","SD","SD","SD","PD","","SD"
"BYL719 + LJM716","PR","","","SD","SD","PD","PD","SD","","","","PD","SD","SD","","PD","","","SD","SD","SD","SD","SD","","SD","SD","PD","","SD","PD","SD","SD","","SD","PR","SD","","SD","PR","SD","NA","PD","SD","SD","","","SD","PD","PD","","SD","SD","","PD","PD","PR","SD","","SD"
"cetuximab","SD","","","PD","PR","PD","PD","PD","","","","PD","SD","PR","","PD","","","SD","CR","SD","PR","PD","SD","SD","PD","PD","PD","SD","SD","PD","PD","","PD","SD","PD","","PD","SD","PD","PD","PD","PD","SD","CR","","PD","PD","","","SD","PD","","SD","PD","","PD","","PD"
"cetuximab + encorafenib","SD","","","PD","SD","PD","PD","PD","","","","PD","PD","SD","","PD","","","SD","PR","PD","PR","SD","","SD","SD","PD","SD","PD","NA","SD","PD","","PD","SD","PD","","SD","PR","PD","PD","PD","SD","SD","","","SD","PD","","","PD","PD","","SD","PD","PR","PD","","SD"
"CGM097","PD","","","PD","SD","SD","PD","PD","","","","PD","PD","PD","","PD","","","PD","PD","PD","PD","","","SD","SD","PD","","","PD","SD","SD","","SD","PD","PD","","SD","PD","PD","PD","PD","PD","SD","","","SD","NA","","","PD","SD","","SD","PD","PD","SD","","PD"
"CKX620","SD","","","PD","SD","PD","SD","SD","","","","SD","PD","SD","","SD","","","PR","SD","SD","SD","SD","","SD","SD","PD","","SD","SD","SD","SD","","SD","SD","PD","","SD","PR","SD","SD","SD","NA","SD","","","SD","SD","","","PD","PD","","SD","PD","PD","NA","","SD"
"CLR457","SD","","","PD","SD","PD","PD","SD","","","","SD","PD","PD","","PD","","","SD","SD","SD","PR","SD","SD","","SD","PD","PD","SD","SD","SD","SD","","SD","SD","PD","","SD","PR","SD","PD","SD","SD","SD","","","SD","PD","PD","","SD","SD","","SD","SD","SD","SD","","SD"
"encorafenib","SD","","","PD","PD","PD","PD","PD","","","","PD","PD","PD","","SD","","","PD","PD","SD","PD","PD","SD","SD","SD","NA","PD","PD","PD","SD","SD","","PD","PD","PD","","PD","SD","PD","PD","PD","PD","SD","","","PD","NA","","","PD","PD","","PD","PD","PD","SD","","SD"
"HDM201","PD","","","PD","PD","PD","SD","SD","","","","PD","PD","PD","","PD","","","SD","PD","SD","PD","SD","","PD","SD","PD","","SD","SD","PD","PD","","PD","PD","PD","","SD","PD","PD","SD","PD","PD","SD","","","PD","PD","PD","","PD","SD","","PD","SD","PD","PD","","PD"
"LEE011","SD","","","NA","SD","SD","PD","PD","","","","SD","PD","SD","","PD","","","SD","SD","SD","SD","SD","SD","SD","PD","PD","SD","SD","PD","SD","SD","","SD","PD","PD","","SD","SD","PD","PD","SD","PD","SD","","","SD","SD","PD","","PD","SD","","SD","PD","SD","PD","","SD"
"LFW527 + binimetinib","PR","SD","SD","","SD","PD","PD","","PD","PD","PD","","PD","SD","PD","SD","PD","PD","","SD","","SD","","","SD","SD","PD","PD","SD","","SD","","PD","","SD","SD","SD","","","SD","","PD","","","","NA","SD","SD","","PD","PD","","PD","PD","SD","","SD","SD",""
"LJC049","PD","","","NA","SD","PD","PD","PD","","","","SD","PD","PD","","PD","","","PD","PD","PD","PD","PD","","SD","PD","NA","PD","PD","PD","PD","SD","","SD","PD","PD","","SD","PD","PD","NA","PD","SD","SD","","","PD","SD","","","PD","PD","","PD","PD","PR","PD","","PD"
"LKA136","SD","","","PD","SD","PD","PD","PD","","","","PD","PD","PD","","PD","","","SD","SD","SD","PD","SD","","SD","PD","PD","","PD","PD","SD","SD","","PD","PD","SD","","SD","PD","PD","PD","PD","PD","SD","","","SD","NA","PD","","PD","SD","","SD","PD","SD","SD","","PD"
"untreated","PD","","","PD","PD","PD","PD","PD","","","","SD","PD","PD","","PD","","","PD","SD","SD","PD","SD","SD","PD","PD","PD","SD","PD","PD","PD","PD","","PD","PD","PD","","PD","PD","PD","PD","PD","SD","SD","PD","","PD","SD","PD","","PD","PD","","SD","PD","PD","PD","","PD"
"abraxane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PD","","","","","","","","","",""
"binimetinib-3.5mpk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PD","","","","","","","","","",""
"BKM120 + binimetinib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SD","","","","","","","","","",""
"BKM120 + LDE225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SD","","","","","","","","","",""
"figitumumab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SD","","","","","","","","","",""
"figitumumab + binimetinib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SD","","","","","","","","","",""
"gemcitabine-50mpk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SD","","","","","","","","","",""
"INC424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PD","","","","","","","","","",""
"INC424 + binimetinib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PD","","","","","","","","","",""
"trametinib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PD","","","","","","","","","",""
"WNT974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SD","","","","","","","","","",""
