"","X-1004","X-1008","X-1286","X-1298","X-1349","X-1371","X-1383","X-1407","X-1468","X-1600","X-1631","X-1828","X-1832","X-1916","X-1921","X-2127","X-2195","X-2344","X-2353","X-2487","X-2524","X-2640","X-2780","X-3077","X-3078","X-3201","X-3298","X-3450","X-3453","X-3468","X-3697","X-3873","X-4347","X-4567","X-4824","X-4888","X-4949","X-5249","X-5355","X-5502","X-5541","X-5975","X-6047"
"BGJ398","X.1004.BG98","X.1008.BG98","X.1286.BG98","X.1298.BG98","","X.1371.BG98","X.1383.BG98","X.1407.BG98","X.1468.BG98","X.1600.BG98","X.1631.BG98","X.1828.BG98","X.1832.BG98","X.1916.BG98","X.1921.BG98","","X.2195.BG98","X.2344.BG98","X.2353.BG98","X.2487.BG98","X.2524.BG98","X.2640.BG98","X.2780.BG98","X.3077.BG98","X.3078.BG98","X.3201.BG98","X.3298.BG98","X.3450.BG98","","X.3468.BG98","X.3697.BG98","X.3873.BG98","X.4347.BG98","X.4567.BG98","X.4824.BG98","X.4888.BG98","X.4949.BG98","X.5249.BG98","X.5355.BG98","X.5502.BG98","","X.5975.BG98","X.6047.BG98"
"binimetinib","X.1004.biib","X.1008.biib","X.1286.biib","X.1298.biib","","X.1371.biib","X.1383.biib","X.1407.biib","X.1468.biib","X.1600.biib","X.1631.biib","X.1828.biib","X.1832.biib","X.1916.biib","X.1921.biib","","X.2195.biib","X.2344.biib","X.2353.biib","X.2487.biib","X.2524.biib","X.2640.biib","X.2780.biib","X.3077.biib","X.3078.biib","X.3201.biib","X.3298.biib","X.3450.biib","","X.3468.biib","X.3697.biib","X.3873.biib","X.4347.biib","X.4567.biib","X.4824.biib","X.4888.biib","X.4949.biib","X.5249.biib","X.5355.biib","X.5502.biib","","X.5975.biib","X.6047.biib"
"BKM120","X.1004.BK20","X.1008.BK20","X.1286.BK20","X.1298.BK20","","X.1371.BK20","X.1383.BK20","X.1407.BK20","X.1468.BK20","X.1600.BK20","X.1631.BK20","X.1828.BK20","X.1832.BK20","X.1916.BK20","X.1921.BK20","","X.2195.BK20","X.2344.BK20","X.2353.BK20","X.2487.BK20","X.2524.BK20","X.2640.BK20","X.2780.BK20","X.3077.BK20","X.3078.BK20","X.3201.BK20","X.3298.BK20","X.3450.BK20","","X.3468.BK20","X.3697.BK20","X.3873.BK20","X.4347.BK20","X.4567.BK20","X.4824.BK20","X.4888.BK20","X.4949.BK20","X.5249.BK20","X.5355.BK20","X.5502.BK20","","X.5975.BK20","X.6047.BK20"
"BYL719","X.1004.BY19","X.1008.BY19","X.1286.BY19","X.1298.BY19","","X.1371.BY19","X.1383.BY19","X.1407.BY19","X.1468.BY19","X.1600.BY19","X.1631.BY19","X.1828.BY19","X.1832.BY19","X.1916.BY19","X.1921.BY19","","X.2195.BY19","X.2344.BY19","X.2353.BY19","X.2487.BY19","X.2524.BY19","X.2640.BY19","X.2780.BY19","X.3077.BY19","X.3078.BY19","X.3201.BY19","X.3298.BY19","X.3450.BY19","","X.3468.BY19","X.3697.BY19","X.3873.BY19","X.4347.BY19","X.4567.BY19","X.4824.BY19","X.4888.BY19","X.4949.BY19","X.5249.BY19","X.5355.BY19","X.5502.BY19","","X.5975.BY19","X.6047.BY19"
"BYL719 + LEE011","X.1004.BY19.LE11","X.1008.BY19.LE11","X.1286.BY19.LE11","X.1298.BY19.LE11","","X.1371.BY19.LE11","X.1383.BY19.LE11","X.1407.BY19.LE11","X.1468.BY19.LE11","X.1600.BY19.LE11","X.1631.BY19.LE11","X.1828.BY19.LE11","X.1832.BY19.LE11","X.1916.BY19.LE11","X.1921.BY19.LE11","","X.2195.BY19.LE11","X.2344.BY19.LE11","X.2353.BY19.LE11","X.2487.BY19.LE11","X.2524.BY19.LE11","X.2640.BY19.LE11","X.2780.BY19.LE11","X.3077.BY19.LE11","X.3078.BY19.LE11","X.3201.BY19.LE11","X.3298.BY19.LE11","X.3450.BY19.LE11","","X.3468.BY19.LE11","X.3697.BY19.LE11","X.3873.BY19.LE11","X.4347.BY19.LE11","X.4567.BY19.LE11","X.4824.BY19.LE11","X.4888.BY19.LE11","X.4949.BY19.LE11","X.5249.BY19.LE11","X.5355.BY19.LE11","X.5502.BY19.LE11","","X.5975.BY19.LE11","X.6047.BY19.LE11"
"BYL719 + LJM716","X.1004.BY19.LJ16","X.1008.BY19.LJ16","X.1286.BY19.LJ16","X.1298.BY19.LJ16","","X.1371.BY19.LJ16","X.1383.BY19.LJ16","X.1407.BY19.LJ16","X.1468.BY19.LJ16","X.1600.BY19.LJ16","X.1631.BY19.LJ16","X.1828.BY19.LJ16","X.1832.BY19.LJ16","X.1916.BY19.LJ16","X.1921.BY19.LJ16","","X.2195.BY19.LJ16","X.2344.BY19.LJ16","X.2353.BY19.LJ16","X.2487.BY19.LJ16","X.2524.BY19.LJ16","X.2640.BY19.LJ16","X.2780.BY19.LJ16","X.3077.BY19.LJ16","X.3078.BY19.LJ16","X.3201.BY19.LJ16","X.3298.BY19.LJ16","X.3450.BY19.LJ16","","X.3468.BY19.LJ16","X.3697.BY19.LJ16","X.3873.BY19.LJ16","X.4347.BY19.LJ16","X.4567.BY19.LJ16","X.4824.BY19.LJ16","X.4888.BY19.LJ16","X.4949.BY19.LJ16","X.5249.BY19.LJ16","X.5355.BY19.LJ16","X.5502.BY19.LJ16","","X.5975.BY19.LJ16","X.6047.BY19.LJ16"
"CGM097","X.1004.CG97","X.1008.CG97","X.1286.CG97","X.1298.CG97","","X.1371.CG97","X.1383.CG97","X.1407.CG97","X.1468.CG97","X.1600.CG97","X.1631.CG97","X.1828.CG97","X.1832.CG97","X.1916.CG97","X.1921.CG97","","X.2195.CG97","X.2344.CG97","X.2353.CG97","X.2487.CG97","X.2524.CG97","X.2640.CG97","X.2780.CG97","X.3077.CG97","X.3078.CG97","X.3201.CG97","X.3298.CG97","X.3450.CG97","","X.3468.CG97","X.3697.CG97","X.3873.CG97","X.4347.CG97","X.4567.CG97","X.4824.CG97","X.4888.CG97","X.4949.CG97","X.5249.CG97","X.5355.CG97","X.5502.CG97","","X.5975.CG97","X.6047.CG97"
"CLR457","X.1004.CL57","X.1008.CL57","X.1286.CL57","X.1298.CL57","","X.1371.CL57","X.1383.CL57","X.1407.CL57","X.1468.CL57","X.1600.CL57","X.1631.CL57","X.1828.CL57","X.1832.CL57","X.1916.CL57","X.1921.CL57","","X.2195.CL57","X.2344.CL57","X.2353.CL57","X.2487.CL57","X.2524.CL57","X.2640.CL57","X.2780.CL57","X.3077.CL57","X.3078.CL57","X.3201.CL57","X.3298.CL57","X.3450.CL57","","X.3468.CL57","X.3697.CL57","X.3873.CL57","X.4347.CL57","X.4567.CL57","X.4824.CL57","X.4888.CL57","X.4949.CL57","X.5249.CL57","X.5355.CL57","X.5502.CL57","","X.5975.CL57","X.6047.CL57"
"HDM201","X.1004.HD01","X.1008.HD01","X.1286.HD01","X.1298.HD01","","X.1371.HD01","X.1383.HD01","X.1407.HD01","X.1468.HD01","X.1600.HD01","X.1631.HD01","X.1828.HD01","X.1832.HD01","X.1916.HD01","X.1921.HD01","","X.2195.HD01","X.2344.HD01","X.2353.HD01","X.2487.HD01","X.2524.HD01","X.2640.HD01","X.2780.HD01","X.3077.HD01","X.3078.HD01","X.3201.HD01","X.3298.HD01","X.3450.HD01","","X.3468.HD01","X.3697.HD01","X.3873.HD01","X.4347.HD01","X.4567.HD01","X.4824.HD01","X.4888.HD01","X.4949.HD01","X.5249.HD01","X.5355.HD01","X.5502.HD01","","X.5975.HD01","X.6047.HD01"
"INC424","X.1004.IN24","X.1008.IN24","X.1286.IN24","X.1298.IN24","","X.1371.IN24","X.1383.IN24","X.1407.IN24","X.1468.IN24","X.1600.IN24","","X.1828.IN24","X.1832.IN24","X.1916.IN24","X.1921.IN24","","X.2195.IN24","X.2344.IN24","X.2353.IN24","X.2487.IN24","X.2524.IN24","X.2640.IN24","X.2780.IN24","X.3077.IN24","X.3078.IN24","X.3201.IN24","X.3298.IN24","X.3450.IN24","","X.3468.IN24","X.3697.IN24","X.3873.IN24","X.4347.IN24","X.4567.IN24","X.4824.IN24","X.4888.IN24","X.4949.IN24","X.5249.IN24","X.5355.IN24","X.5502.IN24","","X.5975.IN24","X.6047.IN24"
