"","X-007","X-010","X-011","X-015","X-017","X-020","X-023","X-024","X-025","X-027","X-028","X-029","X-031","X-034","X-035","X-037","X-038","X-039","X-050","X-056","X-057","X-064","X-065","X-067","X-074","X-075","X-077","X-078","X-084","X-089","X-090","X-091","X-096","X-097","X-098","X-099","X-101","X-102","X-105","X-114","X-118","X-119","X-127","X-128","X-129","X-131","X-135","X-136","X-137","X-138","X-141","X-142","X-144","X-146","X-154","X-158","X-160","X-161","X-162","X-165","X-166","X-169","X-171","X-177"
"BGJ398","X.007.BG98","X.010.BG98","X.011.BG98","X.015.BG98","X.017.BG98","X.020.BG98","","","X.025.BG98","","X.028.BG98","X.029.BG98","X.031.BG98","X.034.BG98","X.035.BG98","X.037.BG98","X.038.BG98","","","X.056.BG98","X.057.BG98","X.064.BG98","X.065.BG98","X.067.BG98","","X.075.BG98","X.077.BG98","","X.084.BG98","X.089.BG98","X.090.BG98","X.091.BG98","X.096.BG98","X.097.BG98","X.098.BG98","X.099.BG98","","X.102.BG98","","","X.118.BG98","X.119.BG98","X.127.BG98","X.128.BG98","X.129.BG98","X.131.BG98","","","","X.138.BG98","","","","","X.154.BG98","X.158.BG98","X.160.BG98","X.161.BG98","","X.165.BG98","X.166.BG98","","X.171.BG98",""
"binimetinib","X.007.biib","X.010.biib","X.011.biib","X.015.biib","X.017.biib","X.020.biib","","","X.025.biib","","X.028.biib","X.029.biib","X.031.biib","X.034.biib","X.035.biib","X.037.biib","X.038.biib","","","X.056.biib","X.057.biib","X.064.biib","X.065.biib","X.067.biib","","X.075.biib","X.077.biib","","X.084.biib","X.089.biib","X.090.biib","X.091.biib","X.096.biib","X.097.biib","X.098.biib","X.099.biib","","","","X.114.biib","X.118.biib","X.119.biib","X.127.biib","X.128.biib","X.129.biib","X.131.biib","","","","X.138.biib","","","","","X.154.biib","X.158.biib","X.160.biib","X.161.biib","","X.165.biib","X.166.biib","","X.171.biib",""
"BKM120","X.007.BK20","X.010.BK20","X.011.BK20","X.015.BK20","X.017.BK20","X.020.BK20","","","X.025.BK20","X.027.BK20","X.028.BK20","X.029.BK20","X.031.BK20","X.034.BK20","X.035.BK20","X.037.BK20","X.038.BK20","","","X.056.BK20","X.057.BK20","X.064.BK20","X.065.BK20","X.067.BK20","","X.075.BK20","X.077.BK20","","X.084.BK20","X.089.BK20","X.090.BK20","X.091.BK20","","X.097.BK20","X.098.BK20","","","X.102.BK20","","X.114.BK20","X.118.BK20","X.119.BK20","X.127.BK20","X.128.BK20","X.129.BK20","X.131.BK20","","","","X.138.BK20","","","","","X.154.BK20","X.158.BK20","X.160.BK20","X.161.BK20","","X.165.BK20","X.166.BK20","","X.171.BK20",""
"BYL719","X.007.BY19","X.010.BY19","X.011.BY19","X.015.BY19","X.017.BY19","X.020.BY19","X.023.BY19","X.024.BY19","X.025.BY19","X.027.BY19","X.028.BY19","X.029.BY19","X.031.BY19","X.034.BY19","X.035.BY19","X.037.BY19","X.038.BY19","X.039.BY19","X.050.BY19","X.056.BY19","X.057.BY19","X.064.BY19","X.065.BY19","X.067.BY19","X.074.BY19","X.075.BY19","X.077.BY19","X.078.BY19","X.084.BY19","X.089.BY19","X.090.BY19","X.091.BY19","X.096.BY19","X.097.BY19","X.098.BY19","","X.101.BY19","X.102.BY19","X.105.BY19","X.114.BY19","X.118.BY19","X.119.BY19","X.127.BY19","X.128.BY19","X.129.BY19","X.131.BY19","X.135.BY19","X.136.BY19","X.137.BY19","X.138.BY19","X.141.BY19","X.142.BY19","","X.146.BY19","X.154.BY19","X.158.BY19","X.160.BY19","X.161.BY19","X.162.BY19","X.165.BY19","X.166.BY19","X.169.BY19","X.171.BY19",""
"BYL719 + HSP990","X.007.BY19.HS90","X.010.BY19.HS90","X.011.BY19.HS90","X.015.BY19.HS90","X.017.BY19.HS90","X.020.BY19.HS90","X.023.BY19.HS90","X.024.BY19.HS90","X.025.BY19.HS90","X.027.BY19.HS90","X.028.BY19.HS90","X.029.BY19.HS90","X.031.BY19.HS90","X.034.BY19.HS90","X.035.BY19.HS90","X.037.BY19.HS90","X.038.BY19.HS90","X.039.BY19.HS90","X.050.BY19.HS90","X.056.BY19.HS90","X.057.BY19.HS90","X.064.BY19.HS90","X.065.BY19.HS90","X.067.BY19.HS90","X.074.BY19.HS90","X.075.BY19.HS90","X.077.BY19.HS90","X.078.BY19.HS90","X.084.BY19.HS90","X.089.BY19.HS90","X.090.BY19.HS90","X.091.BY19.HS90","X.096.BY19.HS90","X.097.BY19.HS90","X.098.BY19.HS90","X.099.BY19.HS90","X.101.BY19.HS90","X.102.BY19.HS90","X.105.BY19.HS90","X.114.BY19.HS90","X.118.BY19.HS90","X.119.BY19.HS90","X.127.BY19.HS90","X.128.BY19.HS90","X.129.BY19.HS90","X.131.BY19.HS90","X.135.BY19.HS90","X.136.BY19.HS90","X.137.BY19.HS90","X.138.BY19.HS90","X.141.BY19.HS90","X.142.BY19.HS90","X.144.BY19.HS90","X.146.BY19.HS90","X.154.BY19.HS90","X.158.BY19.HS90","X.160.BY19.HS90","X.161.BY19.HS90","X.162.BY19.HS90","X.165.BY19.HS90","X.166.BY19.HS90","X.169.BY19.HS90","X.171.BY19.HS90","X.177.BY19.HS90"
"BYL719 + LJM716","X.007.BY19.LJ16","X.010.BY19.LJ16","X.011.BY19.LJ16","X.015.BY19.LJ16","X.017.BY19.LJ16","X.020.BY19.LJ16","X.023.BY19.LJ16","X.024.BY19.LJ16","X.025.BY19.LJ16","","X.028.BY19.LJ16","X.029.BY19.LJ16","","X.034.BY19.LJ16","X.035.BY19.LJ16","","X.038.BY19.LJ16","X.039.BY19.LJ16","X.050.BY19.LJ16","X.056.BY19.LJ16","X.057.BY19.LJ16","X.064.BY19.LJ16","X.065.BY19.LJ16","X.067.BY19.LJ16","X.074.BY19.LJ16","X.075.BY19.LJ16","X.077.BY19.LJ16","X.078.BY19.LJ16","X.084.BY19.LJ16","","X.090.BY19.LJ16","X.091.BY19.LJ16","X.096.BY19.LJ16","X.097.BY19.LJ16","X.098.BY19.LJ16","X.099.BY19.LJ16","X.101.BY19.LJ16","X.102.BY19.LJ16","X.105.BY19.LJ16","X.114.BY19.LJ16","X.118.BY19.LJ16","X.119.BY19.LJ16","X.127.BY19.LJ16","X.128.BY19.LJ16","X.129.BY19.LJ16","X.131.BY19.LJ16","X.135.BY19.LJ16","X.136.BY19.LJ16","X.137.BY19.LJ16","X.138.BY19.LJ16","X.141.BY19.LJ16","X.142.BY19.LJ16","X.144.BY19.LJ16","X.146.BY19.LJ16","X.154.BY19.LJ16","","X.160.BY19.LJ16","X.161.BY19.LJ16","X.162.BY19.LJ16","X.165.BY19.LJ16","X.166.BY19.LJ16","X.169.BY19.LJ16","X.171.BY19.LJ16","X.177.BY19.LJ16"
"CLR457","X.007.CL57","X.010.CL57","X.011.CL57","X.015.CL57","X.017.CL57","X.020.CL57","","","X.025.CL57","X.027.CL57","X.028.CL57","X.029.CL57","X.031.CL57","X.034.CL57","","X.037.CL57","X.038.CL57","","","X.056.CL57","X.057.CL57","X.064.CL57","X.065.CL57","X.067.CL57","","X.075.CL57","X.077.CL57","","X.084.CL57","","X.090.CL57","X.091.CL57","X.096.CL57","X.097.CL57","X.098.CL57","X.099.CL57","","X.102.CL57","","X.114.CL57","X.118.CL57","X.119.CL57","X.127.CL57","X.128.CL57","X.129.CL57","X.131.CL57","","","","X.138.CL57","","","","","X.154.CL57","X.158.CL57","X.160.CL57","X.161.CL57","","","X.166.CL57","","X.171.CL57",""
"everolimus","X.007.evus","X.010.evus","X.011.evus","X.015.evus","X.017.evus","X.020.evus","X.023.evus","X.024.evus","X.025.evus","","X.028.evus","X.029.evus","X.031.evus","X.034.evus","X.035.evus","X.037.evus","X.038.evus","X.039.evus","X.050.evus","X.056.evus","X.057.evus","X.064.evus","X.065.evus","X.067.evus","X.074.evus","X.075.evus","X.077.evus","X.078.evus","X.084.evus","X.089.evus","X.090.evus","X.091.evus","X.096.evus","X.097.evus","X.098.evus","","X.101.evus","","X.105.evus","X.114.evus","X.118.evus","X.119.evus","X.127.evus","X.128.evus","X.129.evus","X.131.evus","X.135.evus","X.136.evus","X.137.evus","X.138.evus","X.141.evus","X.142.evus","X.144.evus","","X.154.evus","X.158.evus","X.160.evus","X.161.evus","X.162.evus","X.165.evus","X.166.evus","X.169.evus","X.171.evus","X.177.evus"
"figitumumab","X.007.fiab","X.010.fiab","X.011.fiab","X.015.fiab","X.017.fiab","X.020.fiab","","","X.025.fiab","X.027.fiab","X.028.fiab","X.029.fiab","X.031.fiab","X.034.fiab","X.035.fiab","X.037.fiab","X.038.fiab","","","X.056.fiab","X.057.fiab","X.064.fiab","X.065.fiab","X.067.fiab","","X.075.fiab","X.077.fiab","","X.084.fiab","X.089.fiab","X.090.fiab","X.091.fiab","X.096.fiab","X.097.fiab","X.098.fiab","X.099.fiab","","","","","X.118.fiab","X.119.fiab","X.127.fiab","X.128.fiab","X.129.fiab","X.131.fiab","","","","X.138.fiab","","","","","X.154.fiab","X.158.fiab","X.160.fiab","X.161.fiab","","","X.166.fiab","","X.171.fiab",""
"HDM201","X.007.HD01","X.010.HD01","X.011.HD01","X.015.HD01","X.017.HD01","X.020.HD01","","","X.025.HD01","X.027.HD01","X.028.HD01","X.029.HD01","X.031.HD01","X.034.HD01","X.035.HD01","X.037.HD01","X.038.HD01","","","X.056.HD01","X.057.HD01","X.064.HD01","X.065.HD01","X.067.HD01","","X.075.HD01","X.077.HD01","","X.084.HD01","X.089.HD01","X.090.HD01","X.091.HD01","X.096.HD01","X.097.HD01","X.098.HD01","X.099.HD01","","","","X.114.HD01","X.118.HD01","X.119.HD01","X.127.HD01","X.128.HD01","X.129.HD01","X.131.HD01","","","","X.138.HD01","","","","","X.154.HD01","X.158.HD01","X.160.HD01","X.161.HD01","","X.165.HD01","X.166.HD01","","X.171.HD01",""
