"","model.id","drug","time","volume","volume.normal"
"1","m.5686.5.1715","Control",0,90,0
"2","m.5686.5.1715","Control",4,90,0
"3","m.5686.5.1715","Control",6,126.5625,0.40625
"4","m.5686.5.1715","Control",10,144,0.6
"5","m.5686.5.1715","Control",13,144,0.6
"6","m.5686.5.1715","Control",18,144,0.6
"7","m.5686.5.1715","Control",20,176,0.955555555555556
"8","m.5686.5.1715","Control",25,176,0.955555555555556
"9","m.5686.5.1715","Control",28,176,0.955555555555556
"10","m.5686.5.1715","Control",32,176,0.955555555555556
"11","m.5686.5.1715","Control",35,248.1875,1.75763888888889
"12","m.5686.5.1715","Control",38,248.1875,1.75763888888889
"13","m.5686.5.1715","Control",42,303.1875,2.36875
"14","m.5686.5.1715","Control",46,462.875,4.14305555555556
"15","m.5686.5.1715","Control",49,504,4.6
"16","m.5686.5.1715","Control",52,504,4.6
"17","m.5686.5.1715","Control",55,504,4.6
"18","m.5686.5.1715","Control",59,504,4.6
"19","m.5686.5.1715","Control",62,540,5
"20","m.5686.5.1715","Control",66,540,5
"21","m.5688.12.1715","Cisplatin",0,168.75,0
"22","m.5688.12.1715","Cisplatin",4,90,-0.466666666666667
"23","m.5688.12.1715","Cisplatin",7,122.5,-0.274074074074074
"24","m.5688.12.1715","Cisplatin",11,147,-0.128888888888889
"25","m.5688.12.1715","Cisplatin",14,140.625,-0.166666666666667
"26","m.5688.12.1715","Cisplatin",17,122.5,-0.274074074074074
"27","m.5688.12.1715","Cisplatin",20,168.75,0
"28","m.5688.12.1715","Cisplatin",24,112.5,-0.333333333333333
"29","m.5688.12.1715","Cisplatin",27,112.5,-0.333333333333333
"30","m.5688.12.1715","Cisplatin",31,222.75,0.32
"31","m.5688.12.1715","Cisplatin",34,275,0.62962962962963
"32","m.5688.12.1715","Cisplatin",38,202.5,0.2
"33","m.5688.12.1715","Cisplatin",41,225.625,0.337037037037037
"34","m.5688.12.1715","Cisplatin",46,250,0.481481481481481
"35","m.5688.12.1715","Cisplatin",52,293.3125,0.738148148148148
"36","m.5688.12.1715","Cisplatin",55,358.3125,1.12333333333333
"37","m.5688.12.1715","Cisplatin",59,396.75,1.35111111111111
"38","m.5688.12.1715","Cisplatin",62,243,0.44
"39","m.5688.12.1715","Cisplatin",66,300,0.777777777777778
"40","m.5688.12.1715","Cisplatin",69,300,0.777777777777778
"41","m.5690.19.1715","Gemcitabine",0,140.625,0
"42","m.5690.19.1715","Gemcitabine",4,62.5,-0.555555555555556
"43","m.5690.19.1715","Gemcitabine",7,28,-0.800888888888889
"44","m.5690.19.1715","Gemcitabine",12,24,-0.829333333333333
"45","m.5690.19.1715","Gemcitabine",14,4,-0.971555555555556
"46","m.5690.19.1715","Gemcitabine",19,4,-0.971555555555556
"47","m.5690.19.1715","Gemcitabine",22,4,-0.971555555555556
"48","m.5690.19.1715","Gemcitabine",56,0.5,-0.996444444444444
"49","m.5690.19.1715","Gemcitabine",60,56.25,-0.6
"50","m.5690.19.1715","Gemcitabine",63,56.25,-0.6
"51","m.5690.19.1715","Gemcitabine",67,50,-0.644444444444444
"52","m.5690.19.1715","Gemcitabine",70,13.5,-0.904
