"","model.id","drug","time","volume","volume.normal"
"1","M5.1.F1","ERIBULIN",0,176.695562,0
"2","M5.1.F1","ERIBULIN",1,254.276568,0.43906595684616
"3","M5.1.F1","ERIBULIN",5,324.8774185,0.838628060731938
"4","M5.1.F1","ERIBULIN",16,171.9287,-0.026977825283467
"5","M5.1.F1","ERIBULIN",20,253.311354,0.433603374826132
"6","M5.1.F1","ERIBULIN",26,126.4072995,-0.284603993053317
"7","M5.1.F1","ERIBULIN",29,94.995456,-0.462377804372925
"8","M5.1.F1","ERIBULIN",34,86.180808,-0.512263879044115
"9","M5.1.F1","ERIBULIN",37,82.9437455,-0.530583877935768
"10","M5.1.F1","ERIBULIN",40,76.2822135,-0.568284496585149
"11","M5.1.F1","ERIBULIN",43,62.1859,-0.648061902086709
"12","M5.1.F1","ERIBULIN",47,39.138176,-0.778499383023553
"13","M5.1.F1","ERIBULIN",55,4,-0.977362193171552
"14","M5.1.F1","ERIBULIN",63,13.5,-0.923597401953989
"15","M5.1.F1","ERIBULIN",69,13.5,-0.923597401953989
"16","M5.1.F1","ERIBULIN",76,13.5,-0.923597401953989
"17","M5.1.F1","ERIBULIN",83,13.5,-0.923597401953989
"18","M5.1.F1","ERIBULIN",90,28.755648,-0.83725879883729
"19","M5.1.F1","ERIBULIN",104,82.883125,-0.530926956727979
"20","M5.1.F1","ERIBULIN",119,273.5262,0.548008319529836
"21","M5.1.F1","ERIBULIN",125,1008.430056,4.70716120193217
"22","M5.1.F2","WATER",0,147.482748,0
"23","M5.1.F2","WATER",2,205.889445,0.396023926812104
"24","M5.1.F2","WATER",5,211.30956,0.432774767662995
"25","M5.1.F2","WATER",8,227.785252,0.544487440659839
"26","M5.1.F2","WATER",12,258.632192,0.753643700753392
"27","M5.1.F2","WATER",15,313.537112,1.12592398942824
"28","M5.1.F2","WATER",19,338.183552,1.29303804401583
"29","M5.1.F2","WATER",22,439.61328,1.98077765678736
"30","M5.1.F2","WATER",26,526.60875,2.57064644605076
"31","M5.1.F2","WATER",29,590.49,3.00379032807281
"32","M5.1.F2","WATER",33,689.3448625,3.6740711835665
"33","M5.1.F2","WATER",36,753.032637,4.10590321384573
"34","M5.1.F2","WATER",40,927.8712,5.29138806119886
"35","M15.1.F2","CFI-400945",0,110.573512,0
"36","M15.1.F2","CFI-400945",2,119.6287425,0.0818933064186295
"37","M15.1.F2","CFI-400945",5,108.821718,-0.015842799675206
