"","drug","model.id","response_type","value"
"1","BGJ398","X.007.BG98","mRECIST",NA
"2","BGJ398","X.007.BG98","best.average.response","NA"
"3","BGJ398","X.007.BG98","slope","89.2668"
"4","BGJ398","X.007.BG98","AUC","660.6091"
"5","BGJ398","X.007.BG98","survival","11.0000"
"6","binimetinib","X.007.biib","mRECIST","PD"
"7","binimetinib","X.007.biib","best.average.response","51.6690"
"8","binimetinib","X.007.biib","slope","80.9523"
"9","binimetinib","X.007.biib","AUC","348.3550"
"10","binimetinib","X.007.biib","survival","30.0000"
"11","BKM120","X.007.BK20","mRECIST","PD"
"12","BKM120","X.007.BK20","best.average.response","77.0516"
"13","BKM120","X.007.BK20","slope","88.5546"
"14","BKM120","X.007.BK20","AUC","569.8464"
"15","BKM120","X.007.BK20","survival","14.0000"
"16","BYL719","X.007.BY19","mRECIST",NA
"17","BYL719","X.007.BY19","best.average.response","NA"
"18","BYL719","X.007.BY19","slope","89.3689"
"19","BYL719","X.007.BY19","AUC","846.8364"
"20","BYL719","X.007.BY19","survival","11.0000"
"21","BYL719 + HSP990","X.007.BY19.HS90","mRECIST","SD"
"22","BYL719 + HSP990","X.007.BY19.HS90","best.average.response","8.7226"
"23","BYL719 + HSP990","X.007.BY19.HS90","slope","84.1925"
"24","BYL719 + HSP990","X.007.BY19.HS90","AUC","399.9967"
"25","BYL719 + HSP990","X.007.BY19.HS90","survival","30.0000"
"26","BYL719 + LJM716","X.007.BY19.LJ16","mRECIST","PD"
"27","BYL719 + LJM716","X.007.BY19.LJ16","best.average.response","40.6179"
"28","BYL719 + LJM716","X.007.BY19.LJ16","slope","82.5851"
"29","BYL719 + LJM716","X.007.BY19.LJ16","AUC","355.6783"
"30","BYL719 + LJM716","X.007.BY19.LJ16","survival","30.0000"
"31","CLR457","X.007.CL57","mRECIST","SD"
"32","CLR457","X.007.CL57","best.average.response","26.5443"
"33","CLR457","X.007.CL57","slope","79.2438"
"34","CLR457","X.007.CL57","AUC","329.8095"
"35","CLR457","X.007.CL57","survival","37.0000"
"36","everolimus","X.007.evus","mRECIST","PD"
"37","everolimus","X.007.evus","best.average.response","68.1098"
"38","everolimus","X.007.evus","slope","87.0915"
"39","everolimus","X.007.evus","AUC","569.5773"
"40","everolimus","X.007.evus","survival","33.0000"
"41","figitumumab","X.007.fiab","mRECIST",NA
"42","figitumumab","X.007.fiab","best.average.response","NA"
"43","figitumumab","X.007.fiab","slope","89.3279"
