"","model.id","biobase.id","mDataType"
"X5E","M5.1.F1",NA,"RNASeq"
"X5E1","M5.1.F2","REF016","RNASeq"
"X15E","M15.1.F2","REF016","RNASeq"
"X16E","M16.2.F2","REF016","RNASeq"
"X25E","M25.1.F2","REF016","RNASeq"
"X35E","M35.1.F2","REF016","RNASeq"
"X45E","M45.1.F2","REF016","RNASeq"
"X55E","M55.1.F2","REF016","RNASeq"
"X65E","M65.1.F2","REF016","RNASeq"
"X75E","M75.1.F2","REF016","RNASeq"
"X85E","M85.1.F2","REF016","RNASeq"
"X5E2","M5.1.F3","48602","RNASeq"
"X15E1","M15.1.F3","48602","RNASeq"
"X5E3","M5.1.F4","REF010","RNASeq"
"X15E2","M15.1.F4","REF010","RNASeq"
"X25E1","M25.1.F4","REF010","RNASeq"
"X5E6","M5.1.F7","INS-B-019","RNASeq"
"X15E4","M15.1.F7","INS-B-019","RNASeq"
"X25E2","M25.1.F7","INS-B-019","RNASeq"
"X35E1","M35.1.F7","INS-B-019","RNASeq"
"X5E7","M5.1.F9","NOTCH10_PM","RNASeq"
"X6E","M6.2.F9","NOTCH10_PM","RNASeq"
"X15E5","M15.1.F9","NOTCH10_PM","RNASeq"
"X16E1","M16.2.F9","NOTCH10_PM","RNASeq"
"X5E9","M5.1.F11","68941","RNASeq"
"X15E7","M15.1.F11","68941","RNASeq"
"X25E4","M25.1.F11","68941","RNASeq"
"X5E10","M5.1.F12","73263","RNASeq"
"X15E8","M15.1.F12","73263","RNASeq"
"X16E3","M16.2.F12","73263","RNASeq"
"X25E5","M25.1.F12","73263","RNASeq"
"X5E11","M5.1.F13","REF010","RNASeq"
"X5E12","M5.1.F15","NOTCH06_PM","RNASeq"
"X15E9","M15.1.F15","NOTCH06_PM","RNASeq"
"X5E13","M5.1.F16","REF014","RNASeq"
"X15E10","M15.1.F16","REF014","RNASeq"
"X5E14","M5.1.F17","REF014","RNASeq"
"X15E11","M15.1.F17","REF014","RNASeq"
"X5E15","M5.1.F18",NA,"RNASeq"
"X15E12","M15.1.F18",NA,"RNASeq"
"X5E16","M5.1.F19","NOTCHB01_P3","RNASeq"
"X5E17","M5.1.F20","NOTCH06_PM","RNASeq"
"X5E18","M5.1.F21","NOTCH06_PM","RNASeq"
"X5E19","M5.1.F22","NOTCH06_PM","RNASeq"
"X15E13","M15.1.F22","NOTCH06_PM","RNASeq"
"X5E21","M5.1.F24","REF016","RNASeq"
"X15E14","M15.1.F24","REF016","RNASeq"
